Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ЖКб-4201-02-00_1.pdf,01.02.00,вторник,14:00-15:30,Общая группа,Медиаобразование Зачет,Не указан,Кузьмина М.В.,14-319
сессия_ЖКб-4201-02-00_1.pdf,01.02.00,вторник,15:45-17:15,Общая группа,Медиаобразование Зачет,Не указан,Кузьмина М.В.,14-319
сессия_ЖКб-4201-02-00_1.pdf,01.02.00,вторник,17:20-18:50,Общая группа,Медиаобразование Зачет,Не указан,Кузьмина М.В.,14-319
сессия_ЖКб-4201-02-00_1.pdf,31.03.26,вторник,08:20-09:50,Общая группа,Научные исследования в сфере коммуникаций Зачет,Не указан,Булдакова Ю.В.,14-328
сессия_ЖКб-4201-02-00_1.pdf,31.03.26,вторник,10:00-11:30,Общая группа,Научные исследования в сфере коммуникаций Зачет,Не указан,Булдакова Ю.В.,14-328
сессия_ЖКб-4201-02-00_1.pdf,31.03.26,вторник,11:45-13:15,Общая группа,Научные исследования в сфере коммуникаций Зачет,Не указан,Булдакова Ю.В.,14-328
сессия_ЖКб-4201-02-00_1.pdf,31.03.26,вторник,14:00-15:30,Общая группа,Медиабизнес Консультация,Не указан,Игошина Ю.В.,14-332
сессия_ЖКб-4201-02-00_1.pdf,01.04.26,среда,14:00-15:30,Общая группа,Медиабизнес Экзамен,Не указан,Игошина Ю.В.,14-308
сессия_ЖКб-4201-02-00_1.pdf,01.04.26,среда,15:45-17:15,Общая группа,Медиабизнес Экзамен,Не указан,Игошина Ю.В.,14-308
сессия_ЖКб-4201-02-00_1.pdf,01.04.26,среда,17:20-18:50,Общая группа,Медиабизнес Экзамен,Не указан,Игошина Ю.В.,14-308
сессия_ЖКб-4201-02-00_1.pdf,03.04.26,пятница,08:20-09:50,Общая группа,Медиакритика Консультация,Не указан,Булдакова Ю.В.,14-328
сессия_ЖКб-4201-02-00_1.pdf,03.04.26,пятница,10:00-11:30,Общая группа,Международная журналистика Консультация,Не указан,Булдакова Ю.В.,14-328
сессия_ЖКб-4201-02-00_1.pdf,03.04.26,пятница,11:45-13:15,Общая группа,Международная журналистика Экзамен,Не указан,Булдакова Ю.В.,14-331
сессия_ЖКб-4201-02-00_1.pdf,03.04.26,пятница,14:00-15:30,Общая группа,Медиакритика Экзамен,Не указан,Булдакова Ю.В.,14-316
сессия_ЖКб-4201-02-00_1.pdf,03.04.26,пятница,14:00-15:30,Общая группа,Международная журналистика Экзамен,Не указан,Булдакова Ю.В.,14-331
сессия_ЖКб-4201-02-00_1.pdf,03.04.26,пятница,15:45-17:15,Общая группа,Медиакритика Экзамен,Не указан,Булдакова Ю.В.,14-316
