Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25324_2_30032026_12042026.pdf,01.04.26,среда,08:20-09:50,Общая группа,Русский язык и культура,Практическое занятие,Исупова С.М.,2-205
25324_2_30032026_12042026.pdf,01.04.26,среда,10:00-11:30,Общая группа,Русский язык и культура,Практическое занятие,Исупова С.М.,2-205
25324_2_30032026_12042026.pdf,01.04.26,среда,11:45-13:15,Общая группа,Русский язык и культура,Практическое занятие,Исупова С.М.,2-205
25324_2_30032026_12042026.pdf,02.04.26,четверг,08:20-09:50,Общая группа,Полимерные материалы,Лекция,Вохмянин М.А.,1-421
25324_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,Общая группа,Полимерные материалы,Лекция,Вохмянин М.А.,1-421
25324_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,Общая группа,Полимерные материалы,Лабораторная работа,Вохмянин М.А.,1-528
25324_2_30032026_12042026.pdf,03.04.26,пятница,14:00-15:30,Общая группа,Полимерные материалы,Лабораторная работа,Вохмянин М.А.,1-528
25324_2_30032026_12042026.pdf,07.04.26,вторник,08:20-09:50,Общая группа,Неорганические материалы,Лабораторная работа,Юркин Ю.В.,6-105
25324_2_30032026_12042026.pdf,07.04.26,вторник,10:00-11:30,Общая группа,Неорганические материалы,Лабораторная работа,Юркин Ю.В.,6-105
25324_2_30032026_12042026.pdf,07.04.26,вторник,11:45-13:15,Общая группа,Неорганические материалы,Лабораторная работа,Юркин Ю.В.,6-105
25324_2_30032026_12042026.pdf,08.04.26,среда,11:45-13:15,Общая группа,Полимерные материалы,Лекция,Вохмянин М.А.,1-521
25324_2_30032026_12042026.pdf,08.04.26,среда,14:00-15:30,Общая группа,Металлы и сплавы,Лабораторная работа,Маринина Н.И.,1-332
25324_2_30032026_12042026.pdf,08.04.26,среда,15:45-17:15,Общая группа,Металлы и сплавы,Лабораторная работа,Маринина Н.И.,1-332
25324_2_30032026_12042026.pdf,08.04.26,среда,17:20-18:50,Общая группа,Металлы и сплавы,Лабораторная работа,Маринина Н.И.,1-332
25324_2_30032026_12042026.pdf,09.04.26,четверг,08:20-09:50,Общая группа,Неорганические материалы,Лекция,Юркин Ю.В.,6-210
25324_2_30032026_12042026.pdf,09.04.26,четверг,10:00-11:30,Общая группа,Неорганические материалы,Лекция,Юркин Ю.В.,6-210
25324_2_30032026_12042026.pdf,10.04.26,пятница,08:20-09:50,Общая группа,Полимерные материалы,Лабораторная работа,Вохмянин М.А.,1-032е
25324_2_30032026_12042026.pdf,10.04.26,пятница,10:00-11:30,Общая группа,Полимерные материалы,Лабораторная работа,Вохмянин М.А.,1-032е
25324_2_30032026_12042026.pdf,11.04.26,суббота,08:20-09:50,Общая группа,Русский язык и культура,Практическое занятие,Исупова С.М.,6-201
25324_2_30032026_12042026.pdf,11.04.26,суббота,10:00-11:30,Общая группа,Русский язык и культура,Практическое занятие,Исупова С.М.,6-201
25324_2_30032026_12042026.pdf,11.04.26,суббота,11:45-13:15,Общая группа,Русский язык и культура,Практическое занятие,Исупова С.М.,6-201
