Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26370_1_01092026_13092026.pdf,01.09.26,вторник,15:45-17:15,Общая группа,Основы цифровых телекоммуникационных сетей,Практическое занятие,Частиков А.В.,3-105
26370_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,Основы цифровых телекоммуникационных сетей,Практическое занятие,Частиков А.В.,3-105
26370_1_01092026_13092026.pdf,02.09.26,среда,11:45-13:15,Общая группа,Методы и средства криптографической защиты информации,Лекция,Харина Н.Л.,3-102
26370_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Методы научного творчества,Лекция,Ржаникова Е.Д.,3-102
26370_1_01092026_13092026.pdf,02.09.26,среда,15:45-17:15,Общая группа,Основы анализа данных,Лабораторная работа,Прозоров Д.Е.,3-205
26370_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Основы анализа данных,Лабораторная работа,Прозоров Д.Е.,3-205
26370_1_01092026_13092026.pdf,03.09.26,четверг,08:20-09:50,Общая группа,Системы управления базами данных,Лекция,Колупаев А.В.,3-102
26370_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,Радиоприемные и радиопередающие устройства,Практическое занятие,Медведева Е.В.,3-205
26370_1_01092026_13092026.pdf,04.09.26,пятница,14:00-15:30,Общая группа,Методы и средства криптографической защиты информации,Практическое занятие,Харина Н.Л.,3-204а
26370_1_01092026_13092026.pdf,04.09.26,пятница,15:45-17:15,Общая группа,Методы и средства криптографической защиты информации,Практическое занятие,Харина Н.Л.,3-204а
26370_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Основы цифровых телекоммуникационных сетей,Лекция,Частиков А.В.,3-105а
26370_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Радиоприемные и радиопередающие устройства,Лекция,Медведева Е.В.,3-207
26370_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,Радиоприемные и радиопередающие устройства,Лабораторная работа,Медведева Е.В.,3-201
26370_1_01092026_13092026.pdf,07.09.26,понедельник,15:45-17:15,Общая группа,Радиоприемные и радиопередающие устройства,Лабораторная работа,Медведева Е.В.,3-201
26370_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,Системы управления базами данных,Лабораторная работа,Колупаев А.В.,3-204а
26370_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,Системы управления базами данных,Лабораторная работа,Колупаев А.В.,3-204а
26370_1_01092026_13092026.pdf,08.09.26,вторник,14:00-15:30,Общая группа,Основы анализа данных,Лекция,Прозоров Д.Е.,3-101
26370_1_01092026_13092026.pdf,09.09.26,среда,08:20-09:50,Общая группа,Основы цифровых телекоммуникационных сетей,Лабораторная работа,Предеина Н.М.,3-104
26370_1_01092026_13092026.pdf,09.09.26,среда,10:00-11:30,Общая группа,Основы цифровых телекоммуникационных сетей,Лабораторная работа,Предеина Н.М.,3-104
26370_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Методы и средства криптографической защиты информации,Лабораторная работа,Харина Н.Л.,3-205
26370_1_01092026_13092026.pdf,10.09.26,четверг,11:45-13:15,Общая группа,Методы и средства криптографической защиты информации,Лабораторная работа,Харина Н.Л.,3-205
