Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26357_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,Общая группа,Теория перевода,Лекция,Байкова О.В.,15-227
26357_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,Общая группа,Письменный перевод второго иностранного языка (немецкий язык),Практическое занятие,Байкова О.В.,15-204
26357_1_01092026_13092026.pdf,01.09.26,вторник,14:00-15:30,Общая группа,Письменный перевод второго иностранного языка (немецкий язык),Практическое занятие,Байкова О.В.,15-204
26357_1_01092026_13092026.pdf,02.09.26,среда,10:00-11:30,Общая группа,Теория перевода изучаемых иностранных языков,Лекция,Байкова А.В.,15-210
26357_1_01092026_13092026.pdf,02.09.26,среда,11:45-13:15,Общая группа,Устный перевод второго иностранного языка (немецкий язык),Практическое занятие,Обухова О.Н.,15-229
26357_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Второй иностранный язык (немецкий язык),Практическое занятие,Обухова О.Н.,15-229
26357_1_01092026_13092026.pdf,03.09.26,четверг,08:20-09:50,Общая группа,Устный перевод первого иностранного языка (английский язык),Практическое занятие,Миронина А.Ю.,15-219
26357_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,Основы теории изучаемых иностранных языков,Лекция,Березина Ю.В.,15-204
26357_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Основы теории изучаемых иностранных языков,Практическое занятие,Березина Ю.В.,15-207
26357_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,Второй иностранный язык (немецкий язык),Практическое занятие,Обухова О.Н.,15-229
26357_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,Устный перевод второго иностранного языка (немецкий язык),Практическое занятие,Обухова О.Н.,15-229
26357_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Устный перевод второго иностранного языка (немецкий язык),Практическое занятие,Обухова О.Н.,15-229
26357_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Устный перевод первого иностранного языка (английский язык),Практическое занятие,Миронина А.Ю.,15-204
26357_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,Устный перевод первого иностранного языка (английский язык),Практическое занятие,Миронина А.Ю.,15-204
26357_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,Письменный перевод второго иностранного языка (немецкий язык),Практическое занятие,Байкова О.В.,15-201
26357_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,Письменный перевод второго иностранного языка (немецкий язык),Практическое занятие,Байкова О.В.,15-201
26357_1_01092026_13092026.pdf,09.09.26,среда,08:20-09:50,Общая группа,Деловой немецкий язык,Практическое занятие,Березина Ю.В.,15-216
26357_1_01092026_13092026.pdf,09.09.26,среда,10:00-11:30,Общая группа,Теория перевода изучаемых иностранных языков,Практическое занятие,Байкова А.В.,15-211
26357_1_01092026_13092026.pdf,09.09.26,среда,11:45-13:15,Общая группа,Второй иностранный язык (немецкий язык),Практическое занятие,Обухова О.Н.,15-229
26357_1_01092026_13092026.pdf,10.09.26,четверг,08:20-09:50,Общая группа,Деловой немецкий язык,Практическое занятие,Березина Ю.В.,15-204
26357_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Деловой немецкий язык,Практическое занятие,Березина Ю.В.,15-204
26357_1_01092026_13092026.pdf,10.09.26,четверг,11:45-13:15,Общая группа,Деловой английский язык,Практическое занятие,Миронина А.Ю.,15-202
26357_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,Деловой английский язык,Практическое занятие,Миронина А.Ю.,15-202
26357_1_01092026_13092026.pdf,11.09.26,пятница,08:20-09:50,Общая группа,Устный перевод первого иностранного языка (английский язык),Практическое занятие,Миронина А.Ю.,15-204
26357_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,Общая группа,Теория перевода,Практическое занятие,Байкова О.В.,15-211
26357_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,Второй иностранный язык (немецкий язык),Практическое занятие,Обухова О.Н.,15-229
