Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26678_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,Организация инвестиционных бизнес-проектов,Лекция,Алцыбеева И.Г.,14-122
26678_1_01092026_13092026.pdf,01.09.26,вторник,18:55-20:25,Общая группа,Организация инвестиционных бизнес-проектов,Лекция,Алцыбеева И.Г.,14-122
26678_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Организация прикладных исследований в проектной деятельности,Лекция,Березина Е.А.,14-122
26678_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Организация прикладных исследований в проектной деятельности,Практическое занятие,Березина Е.А.,14-122
26678_1_01092026_13092026.pdf,03.09.26,четверг,17:20-18:50,Общая группа,Информационное обеспечение управления проектами,Лекция,Ганебных Е.В.,14-122
26678_1_01092026_13092026.pdf,03.09.26,четверг,18:55-20:25,Общая группа,Информационное обеспечение управления проектами,Практическое занятие,Ганебных Е.В.,14-122
26678_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Информационное обеспечение управления проектами,Лекция,Ганебных Е.В.,14-122
26678_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Информационное обеспечение управления проектами,Практическое занятие,Ганебных Е.В.,14-122
26678_1_01092026_13092026.pdf,09.09.26,среда,17:20-18:50,Общая группа,Организация прикладных исследований в проектной деятельности,Лекция,Березина Е.А.,14-122
26678_1_01092026_13092026.pdf,09.09.26,среда,18:55-20:25,Общая группа,Организация прикладных исследований в проектной деятельности,Практическое занятие,Березина Е.А.,14-122
26678_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Организация инвестиционных бизнес-проектов,Практическое занятие,Алцыбеева И.Г.,16-209
26678_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Организация инвестиционных бизнес-проектов,Практическое занятие,Алцыбеева И.Г.,16-209
