Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27100_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,Общая группа,Организационное собрание 11:45,Не указан,Лисовский В.А.,10-218
27100_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Компьютерные технологии в машиностроении,Лабораторная работа,Флаксман А.Л.,10-215
27100_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Компьютерные технологии в машиностроении,Лабораторная работа,Флаксман А.Л.,10-215
27100_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Новые конструкционные материалы,Практическое занятие,Лисовская О.Б.,1-312
27100_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Новые конструкционные материалы,Практическое занятие,Лисовская О.Б.,1-312
27100_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Защита интеллектуальной собственности,Лекция,Плотников С.А.,10-205
27100_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Защита интеллектуальной собственности,Практическое занятие,Плотников С.А.,10-205
27100_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,6-310
27100_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Математические методы в инженерии,Лабораторная работа,Чернявский В.Б.,10-206
27100_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Математические методы в инженерии,Лабораторная работа,Чернявский В.Б.,10-206
27100_1_01092026_13092026.pdf,12.09.26,суббота,11:45-13:15,Общая группа,Основы научных исследований,Лекция,Маринин Е.А.,10-205
27100_1_01092026_13092026.pdf,12.09.26,суббота,14:00-15:30,Общая группа,Основы научных исследований,Практическое занятие,Маринин Е.А.,10-205
