Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27107_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,Общая группа,Организационное собрание 11:45,Не указан,Лисовский В.А.,10-218
27107_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Компьютерное моделирование конструкций,Лабораторная работа,Маринин Е.А.,10-206
27107_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Компьютерное моделирование конструкций,Лабораторная работа,Маринин Е.А.,10-206
27107_1_01092026_13092026.pdf,03.09.26,четверг,17:20-18:50,Общая группа,Основы нейросетей,Лекция,Карпов А.А.,1-331
27107_1_01092026_13092026.pdf,03.09.26,четверг,18:55-20:25,Общая группа,Основы нейросетей,Практическое занятие,Карпов А.А.,1-331
27107_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Математическое моделирование и современные проблемы наук о материалах и процессах,Лекция,Маринин Е.А.,1-313
27107_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Математическое моделирование и современные проблемы наук о материалах и процессах,Практическое занятие,Маринин Е.А.,1-313
27107_1_01092026_13092026.pdf,05.09.26,суббота,17:20-18:50,Общая группа,Основы нейросетей,Лекция,Карпов А.А.,1-331
27107_1_01092026_13092026.pdf,05.09.26,суббота,18:55-20:25,Общая группа,Основы нейросетей,Практическое занятие,Карпов А.А.,1-331
27107_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,6-310
27107_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Материаловедение и технологии современных и перспективных материалов,Лабораторная работа,Лисовская О.Б.,1-331
27107_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Материаловедение и технологии современных и перспективных материалов,Лабораторная работа,Лисовская О.Б.,1-331
