Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26287_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,Компьютерное зрение,Лекция,Бызов В.А.,16-407
26287_1_01092026_13092026.pdf,01.09.26,вторник,18:55-20:25,Общая группа,Компьютерное зрение,Лекция,Бызов В.А.,16-407
26287_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Компьютерное зрение,Практическое занятие,Бызов В.А.,16-419
26287_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Компьютерное зрение,Практическое занятие,Бызов В.А.,16-419
26287_1_01092026_13092026.pdf,05.09.26,суббота,08:20-09:50,Общая группа,Автоматическая обработка текстов,Лекция,Татаринова А.Г.,16-403
26287_1_01092026_13092026.pdf,05.09.26,суббота,10:00-11:30,Общая группа,Автоматическая обработка текстов,Лабораторная работа,Татаринова А.Г.,16-320
26287_1_01092026_13092026.pdf,05.09.26,суббота,11:45-13:15,Общая группа,Автоматическая обработка текстов,Лабораторная работа,Татаринова А.Г.,16-320
26287_1_01092026_13092026.pdf,07.09.26,понедельник,17:20-18:50,Общая группа,Компьютерное зрение,Лабораторная работа,Бызов В.А.,16-419
26287_1_01092026_13092026.pdf,07.09.26,понедельник,18:55-20:25,Общая группа,Компьютерное зрение,Лабораторная работа,Бызов В.А.,16-419
26287_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Дубовцева Л.В.,2-300
26287_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Дубовцева Л.В.,2-300
26287_1_01092026_13092026.pdf,12.09.26,суббота,08:20-09:50,Общая группа,Автоматическая обработка текстов,Лекция,Татаринова А.Г.,16-403
26287_1_01092026_13092026.pdf,12.09.26,суббота,10:00-11:30,Общая группа,Автоматическая обработка текстов,Лабораторная работа,Татаринова А.Г.,16-320
26287_1_01092026_13092026.pdf,12.09.26,суббота,11:45-13:15,Общая группа,Автоматическая обработка текстов,Лабораторная работа,Татаринова А.Г.,16-320
