Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27056_1_01092026_13092026.pdf,01.09.26,вторник,08:20-09:50,Общая группа,Организационное собрание 8:30 Коворкинг,Не указан,Утёмов В.В.,15-337
27056_1_01092026_13092026.pdf,02.09.26,среда,08:20-09:50,Общая группа,Физическая культура и спорт,Практическое занятие,Рябова А.Н.,15-111
27056_1_01092026_13092026.pdf,02.09.26,среда,10:00-11:30,Общая группа,Общая психология,Лекция,Горбушина А.В.,15-337
27056_1_01092026_13092026.pdf,02.09.26,среда,11:45-13:15,Общая группа,Общая психология,Практическое занятие,Горбушина А.В.,15-337
27056_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Физическая культура и спорт,Лекция,Авдеева М.С.,15-210
27056_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,"Возрастная анатомия, физиология и основы медицинских знаний",Лекция,Демина Н.Л.,15-311
27056_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Русский язык и культура речи,Лекция,Копанева А.С.,15-311
27056_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,Общая группа,Основы российской государственности,Лекция,Бакшаев М.В.,15-311
27056_1_01092026_13092026.pdf,04.09.26,пятница,08:20-09:50,Общая группа,Основы российской государственности,Практическое занятие,Бакшаев М.В.,15-339
27056_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,История России,Практическое занятие,Рычкова О.В.,15-218
27056_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,История России,Практическое занятие,Рычкова О.В.,15-218
27056_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Общая психология,Практическое занятие,Горбушина А.В.,15-337
27056_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Русский язык и культура речи,Практическое занятие,Копанева А.С.,15-251
27056_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,Психология,Практическое занятие,Городилова С.А.,15-339
27056_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,Психология,Лекция,Городилова С.А.,15-251
27056_1_01092026_13092026.pdf,08.09.26,вторник,14:00-15:30,Общая группа,История России,Лекция,Рычкова О.В.,15-311
27056_1_01092026_13092026.pdf,08.09.26,вторник,15:45-17:15,Общая группа,История России,Лекция,Рычкова О.В.,15-311
27056_1_01092026_13092026.pdf,09.09.26,среда,08:20-09:50,Общая группа,Физическая культура и спорт,Практическое занятие,Рябова А.Н.,15-111
27056_1_01092026_13092026.pdf,09.09.26,среда,10:00-11:30,Общая группа,Технологии социального и профессионального взаимодействия,Лекция,Саломау Д.Б.,15-337
27056_1_01092026_13092026.pdf,09.09.26,среда,11:45-13:15,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Саломау Д.Б.,15-337
27056_1_01092026_13092026.pdf,09.09.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Шишкина А.Н.,15-337
27056_1_01092026_13092026.pdf,10.09.26,четверг,08:20-09:50,01 подгруппа,Иностранный язык,Практическое занятие,Щекочихина Е.В.,15-218
27056_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Введение в профессию,Лекция,Шак А.А.,15-116
27056_1_01092026_13092026.pdf,10.09.26,четверг,11:45-13:15,Общая группа,Введение в профессию,Практическое занятие,Шак А.А.,15-426
27056_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,02 подгруппа,Иностранный язык,Практическое занятие,Макаров А.Н.,1-227
27056_1_01092026_13092026.pdf,10.09.26,четверг,15:45-17:15,02 подгруппа,Иностранный язык,Практическое занятие,Макаров А.Н.,1-227
27056_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,История России,Лекция,Рычкова О.В.,15-251
27056_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,"Возрастная анатомия, физиология и основы медицинских знаний",Лекция,Демина Н.Л.,15-251
27056_1_01092026_13092026.pdf,11.09.26,пятница,15:45-17:15,Общая группа,Основы российской государственности,Практическое занятие,Бакшаев М.В.,15-227
