Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26388_1_01092026_13092026.pdf,01.09.26,вторник,15:45-17:15,Общая группа,История социально-политических учений,Лекция,Зорин А.В.,14-209
26388_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,История социально-политических учений,Практическое занятие,Зорин А.В.,14-209
26388_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Историография всеобщей истории,Лекция,Калинин А.А.,17-457
26388_1_01092026_13092026.pdf,02.09.26,среда,15:45-17:15,Общая группа,Историография всеобщей истории,Практическое занятие,Калинин А.А.,17-457
26388_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,История международных отношений,Практическое занятие,Смольняк И.В.,14-111
26388_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,Общая группа,История международных отношений,Практическое занятие,Смольняк И.В.,14-208
26388_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,Актуальные проблемы методики преподавания истории,Лекция,Росина М.А.,14-210
26388_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,Актуальные проблемы методики преподавания истории,Практическое занятие,Росина М.А.,14-210
26388_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Новая и новейшая история стран Азии и Африки,Лекция,Чучкалов А.В.,17-457
26388_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Новая и новейшая история стран Азии и Африки,Практическое занятие,Чучкалов А.В.,17-457
26388_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,История международных отношений,Лекция,Смольняк И.В.,14-219
26388_1_01092026_13092026.pdf,07.09.26,понедельник,15:45-17:15,Общая группа,История международных отношений,Практическое занятие,Смольняк И.В.,14-219
26388_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,История социально-политических учений,Лекция,Зорин А.В.,21-264
26388_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,История социально-политических учений,Практическое занятие,Зорин А.В.,21-264
26388_1_01092026_13092026.pdf,08.09.26,вторник,14:00-15:30,Общая группа,Историография всеобщей истории,Лекция,Калинин А.А.,14-211
26388_1_01092026_13092026.pdf,08.09.26,вторник,15:45-17:15,Общая группа,Историография всеобщей истории,Практическое занятие,Калинин А.А.,14-211
26388_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,Историография всеобщей истории,Практическое занятие,Калинин А.А.,14-209
26388_1_01092026_13092026.pdf,10.09.26,четверг,15:45-17:15,Общая группа,Историография всеобщей истории,Практическое занятие,Калинин А.А.,14-209
26388_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,Актуальные проблемы методики преподавания истории,Лекция,Росина М.А.,1-222
26388_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,Актуальные проблемы методики преподавания истории,Практическое занятие,Росина М.А.,1-222
