Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27091_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,Общая группа,Организационное собрание 12.00,Не указан,Багаев В.Н.,6-210
27091_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Инновационное предпринимательство,Лекция,Юркин Ю.В.,6-204
27091_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Инновационное предпринимательство,Практическое занятие,Юркин Ю.В.,6-204
27091_1_01092026_13092026.pdf,03.09.26,четверг,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,6-310
27091_1_01092026_13092026.pdf,03.09.26,четверг,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,6-310
27091_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Сертификация строительной продукции,Лекция,Бузиков Ш.В.,6-306
27091_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Сертификация строительной продукции,Практическое занятие,Бузиков Ш.В.,6-306
27091_1_01092026_13092026.pdf,05.09.26,суббота,10:00-11:30,Общая группа,Контроль технических и технологических решений в строительстве,Лекция,Бобров В.В.,6-210
27091_1_01092026_13092026.pdf,05.09.26,суббота,11:45-13:15,Общая группа,Контроль технических и технологических решений в строительстве,Практическое занятие,Бобров В.В.,6-210
27091_1_01092026_13092026.pdf,07.09.26,понедельник,17:20-18:50,Общая группа,Основы научных исследований,Лекция,Зыкин А.А.,1-531
27091_1_01092026_13092026.pdf,07.09.26,понедельник,18:55-20:25,Общая группа,Основы научных исследований,Практическое занятие,Зыкин А.А.,1-531
27091_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Безопасность труда и экологический мониторинг в строительстве,Лекция,Кузнецова Д.А.,6-210
27091_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Безопасность труда и экологический мониторинг в строительстве,Практическое занятие,Кузнецова Д.А.,6-210
27091_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,6-310
27091_1_01092026_13092026.pdf,12.09.26,суббота,08:20-09:50,Общая группа,Методология управления проектами (в строительстве),Лекция,Ганебных Е.В.,6-210
27091_1_01092026_13092026.pdf,12.09.26,суббота,10:00-11:30,Общая группа,Методология управления проектами (в строительстве),Практическое занятие,Ганебных Е.В.,6-307
