Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26848_1_01092026_13092026.pdf,01.09.26,вторник,17:20-18:50,Общая группа,Метод фокус-групп,Лекция,Кушова И.А.,14-234
26848_1_01092026_13092026.pdf,01.09.26,вторник,18:55-20:25,Общая группа,Метод фокус-групп,Практическое занятие,Кушова И.А.,14-234
26848_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Гендерные исследования социальных процессов,Лекция,Голенок М.П.,14-210
26848_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Гендерные исследования социальных процессов,Практическое занятие,Голенок М.П.,14-210
26848_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Метод экспертных оценок,Лекция,Бушкова-Шиклина Э.В.,14-133
26848_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Метод экспертных оценок,Практическое занятие,Бушкова-Шиклина Э.В.,14-133
26848_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Основы конфликтологии и медиации,Лекция,Колобова Ю.И.,14-211
26848_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Основы конфликтологии и медиации,Практическое занятие,Колобова Ю.И.,14-211
26848_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Социальное проектирование и прогнозирование,Лекция,Ситникова Е.Л.,14-219
26848_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Социальное проектирование и прогнозирование,Практическое занятие,Ситникова Е.Л.,14-219
26848_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,"Научно-исследовательский семинар ""Комплексный социальный анализ""",Практическое занятие,Бушкова-Шиклина Э.В.,14-133
