Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26562_1_01092026_13092026.pdf,01.09.26,вторник,10:00-11:30,Общая группа,Математическое моделирование электрических машин,Лекция,Леготин А.Б.,8-506
26562_1_01092026_13092026.pdf,01.09.26,вторник,11:45-13:15,Общая группа,Электрические микромашины,Лекция,Леготин А.Б.,8-506
26562_1_01092026_13092026.pdf,01.09.26,вторник,14:00-15:30,Общая группа,Информационные системы и технологии,Лекция,Грудинин В.С.,7-013
26562_1_01092026_13092026.pdf,02.09.26,среда,11:45-13:15,Общая группа,Проектная деятельность,Практическое занятие,Шураков И.А.,7-021
26562_1_01092026_13092026.pdf,03.09.26,четверг,10:00-11:30,Общая группа,Проектирование электротехнических устройств,Лекция,Шураков И.А.,7-021
26562_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Проектирование электротехнических устройств,Практическое занятие,Шураков И.А.,7-020
26562_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,Общая группа,Электрические микромашины,Лабораторная работа,Леготин А.Б.,8-304
26562_1_01092026_13092026.pdf,03.09.26,четверг,15:45-17:15,Общая группа,Электрические микромашины,Лабораторная работа,Леготин А.Б.,8-304
26562_1_01092026_13092026.pdf,03.09.26,четверг,17:20-18:50,Общая группа,Проектирование технологических процессов производства электрических машин,Лекция,Шешин А.Д.,8-501
26562_1_01092026_13092026.pdf,03.09.26,четверг,18:55-20:25,Общая группа,Проектирование технологических процессов производства электрических машин,Практическое занятие,Шешин А.Д.,8-501
26562_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,Компьютерная и микропроцессорная техника,Лекция,Сбоев В.М.,7-021
26562_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,Компьютерная и микропроцессорная техника,Практическое занятие,Сбоев В.М.,7-020
26562_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Электрооборудование летательных аппаратов,Лекция,Ишутинов В.В.,8-501
26562_1_01092026_13092026.pdf,04.09.26,пятница,18:55-20:25,Общая группа,Электрооборудование летательных аппаратов,Практическое занятие,Ишутинов В.В.,8-501
26562_1_01092026_13092026.pdf,07.09.26,понедельник,08:20-09:50,Общая группа,Математическое моделирование электрических машин,Практическое занятие,Леготин А.Б.,8-413
26562_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Математическое моделирование электрических машин,Лабораторная работа,Леготин А.Б.,8-413
26562_1_01092026_13092026.pdf,07.09.26,понедельник,10:00-11:30,Общая группа,Приводы технологических установок,Лекция,Охапкин С.И.,7-021
26562_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Математическое моделирование электрических машин,Лабораторная работа,Леготин А.Б.,8-413
26562_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,Общая группа,Приводы технологических установок,Практическое занятие,Охапкин С.И.,7-020
26562_1_01092026_13092026.pdf,08.09.26,вторник,08:20-09:50,Общая группа,Информационные системы и технологии,Лабораторная работа,Грудинин В.С.,7-008
26562_1_01092026_13092026.pdf,08.09.26,вторник,10:00-11:30,Общая группа,Информационные системы и технологии,Лабораторная работа,Грудинин В.С.,7-008
26562_1_01092026_13092026.pdf,08.09.26,вторник,11:45-13:15,Общая группа,Информационные системы и технологии,Лекция,Грудинин В.С.,7-021
26562_1_01092026_13092026.pdf,08.09.26,вторник,14:00-15:30,Общая группа,Электрические микромашины,Лекция,Леготин А.Б.,8-506
26562_1_01092026_13092026.pdf,10.09.26,четверг,08:20-09:50,Общая группа,Проектирование технологических процессов производства электрических машин,Лабораторная работа,Шешин А.Д.,8-304
26562_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Компьютерная и микропроцессорная техника,Лабораторная работа,Сбоев В.М.,7-008
26562_1_01092026_13092026.pdf,10.09.26,четверг,10:00-11:30,Общая группа,Проектирование технологических процессов производства электрических машин,Лабораторная работа,Шешин А.Д.,8-304
26562_1_01092026_13092026.pdf,10.09.26,четверг,11:45-13:15,Общая группа,Компьютерная и микропроцессорная техника,Лабораторная работа,Сбоев В.М.,7-008
26562_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,Математическое моделирование электрических машин,Лекция,Леготин А.Б.,8-501
26562_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,Проектирование электротехнических устройств,Лабораторная работа,Шураков И.А.,7-003
26562_1_01092026_13092026.pdf,10.09.26,четверг,15:45-17:15,Общая группа,Математическое моделирование электрических машин,Практическое занятие,Леготин А.Б.,8-501
26562_1_01092026_13092026.pdf,10.09.26,четверг,15:45-17:15,Общая группа,Проектирование электротехнических устройств,Лабораторная работа,Шураков И.А.,7-003
26562_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,Общая группа,Проектирование электротехнических устройств,Лекция,Шураков И.А.,7-021
26562_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,Проектирование электротехнических устройств,Практическое занятие,Шураков И.А.,7-020
26562_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,Компьютерная и микропроцессорная техника,Лекция,Сбоев В.М.,7-021
26562_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Электрооборудование летательных аппаратов,Лекция,Ишутинов В.В.,8-501
26562_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Проектирование технологических процессов производства электрических машин,Лекция,Шешин А.Д.,8-501
