Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27086_1_01092026_13092026.pdf,02.09.26,среда,17:20-18:50,Общая группа,Ландшафтное планирование и проектирование,Лекция,Матушкин А.С.,15-309
27086_1_01092026_13092026.pdf,02.09.26,среда,18:55-20:25,Общая группа,Ландшафтное планирование и проектирование,Практическое занятие,Матушкин А.С.,15-309
27086_1_01092026_13092026.pdf,03.09.26,четверг,17:20-18:50,Общая группа,Комплексное картографирование и дистанционные методы в географии,Лекция,Матушкин А.С.,15-324
27086_1_01092026_13092026.pdf,03.09.26,четверг,18:55-20:25,Общая группа,Комплексное картографирование и дистанционные методы в географии,Лекция,Матушкин А.С.,15-324
27086_1_01092026_13092026.pdf,04.09.26,пятница,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Суслопарова М.М.,15-310
27086_1_01092026_13092026.pdf,05.09.26,суббота,08:20-09:50,Общая группа,"История, теория и методология географии",Лекция,Прокашев А.М.,15-309
27086_1_01092026_13092026.pdf,05.09.26,суббота,10:00-11:30,Общая группа,"История, теория и методология географии",Практическое занятие,Прокашев А.М.,15-309
27086_1_01092026_13092026.pdf,05.09.26,суббота,11:45-13:15,Общая группа,"История, теория и методология географии",Практическое занятие,Прокашев А.М.,15-309
27086_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Методы физико-географических исследований,Лекция,Прокашев А.М.,15-324
27086_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Методы физико-географических исследований,Практическое занятие,Прокашев А.М.,15-324
27086_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Ландшафтное планирование и проектирование,Лекция,Матушкин А.С.,15-324
27086_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Ландшафтное планирование и проектирование,Практическое занятие,Матушкин А.С.,15-324
27086_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Суслопарова М.М.,15-310
27086_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Комплексное картографирование и дистанционные методы в географии,Практическое занятие,Матушкин А.С.,15-122
27086_1_01092026_13092026.pdf,12.09.26,суббота,08:20-09:50,Общая группа,Территориальное планирование и проектирование,Лекция,Алалыкина И.Ю.,15-305
27086_1_01092026_13092026.pdf,12.09.26,суббота,10:00-11:30,Общая группа,Территориальное планирование и проектирование,Лекция,Алалыкина И.Ю.,15-305
27086_1_01092026_13092026.pdf,12.09.26,суббота,11:45-13:15,Общая группа,Территориальное планирование и проектирование,Практическое занятие,Алалыкина И.Ю.,15-305
