Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27241_1_01092026_13092026.pdf,02.09.26,среда,15:45-17:15,Общая группа,Организационное собрание в 15.45 онлайн Дистанцион,Не указан,Утёмов В.В.,15-427
27241_1_01092026_13092026.pdf,07.09.26,понедельник,17:20-18:50,Общая группа,Методологические и теоретические проблемы психологии личности,Лекция,Низовских Н.А.,15-243
27241_1_01092026_13092026.pdf,07.09.26,понедельник,18:55-20:25,Общая группа,Методологические и теоретические проблемы психологии личности,Лекция,Низовских Н.А.,15-243
27241_1_01092026_13092026.pdf,08.09.26,вторник,17:20-18:50,Общая группа,Проектирование и организация психологического исследования,Лекция,Горбушина А.В.,15-310
27241_1_01092026_13092026.pdf,08.09.26,вторник,18:55-20:25,Общая группа,Проектирование и организация психологического исследования,Практическое занятие,Горбушина А.В.,15-310
27241_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Мониторинг морфофункционального состояния обучающихся,Лекция,Морозова М.А.,19-220
27241_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Мониторинг морфофункционального состояния обучающихся,Практическое занятие,Морозова М.А.,19-220
27241_1_01092026_13092026.pdf,11.09.26,пятница,17:20-18:50,Общая группа,Язык и стиль научного текста,Лекция,Александрова Н.С.,15-125
27241_1_01092026_13092026.pdf,11.09.26,пятница,18:55-20:25,Общая группа,Язык и стиль научного текста,Практическое занятие,Александрова Н.С.,15-125
27241_1_01092026_13092026.pdf,12.09.26,суббота,10:00-11:30,Общая группа,Методологические и теоретические проблемы психологии личности,Практическое занятие,Низовских Н.А.,15-243
27241_1_01092026_13092026.pdf,12.09.26,суббота,11:45-13:15,Общая группа,Методологические и теоретические проблемы психологии личности,Практическое занятие,Низовских Н.А.,15-243
