Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26457_1_01092026_13092026.pdf,02.09.26,среда,10:00-11:30,Общая группа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Лекция,Юркин Ю.В.,6-204
26457_1_01092026_13092026.pdf,02.09.26,среда,11:45-13:15,Общая группа,Архитектура промышленных зданий,Лекция,Елькина Л.В.,6-204
26457_1_01092026_13092026.pdf,02.09.26,среда,14:00-15:30,Общая группа,Архитектура промышленных зданий,Практическое занятие,Полевщиков А.С.,6-403
26457_1_01092026_13092026.pdf,02.09.26,среда,15:45-17:15,Общая группа,Архитектура промышленных зданий,Практическое занятие,Полевщиков А.С.,6-403
26457_1_01092026_13092026.pdf,03.09.26,четверг,11:45-13:15,Общая группа,Сметное дело и ценообразование в строительстве,Лекция,Седых Т.П.,6-204
26457_1_01092026_13092026.pdf,03.09.26,четверг,14:00-15:30,Общая группа,Механика грунтов,Практическое занятие,Никулин А.В.,6-301
26457_1_01092026_13092026.pdf,03.09.26,четверг,15:45-17:15,Общая группа,Строительная механика с основами теории упругости,Практическое занятие,Шишкин В.М.,6-306
26457_1_01092026_13092026.pdf,04.09.26,пятница,10:00-11:30,Общая группа,Инженерные системы зданий и сооружений,Лекция,Зыкин А.А.,1-242
26457_1_01092026_13092026.pdf,04.09.26,пятница,11:45-13:15,Общая группа,Сопротивление материалов,Лекция,Одегов В.А.,1-242
26457_1_01092026_13092026.pdf,04.09.26,пятница,14:00-15:30,Общая группа,Проектная деятельность,Практическое занятие,Пахарева И.В.,6-403
26457_1_01092026_13092026.pdf,04.09.26,пятница,15:45-17:15,Общая группа,Проектная деятельность,Практическое занятие,Пахарева И.В.,6-403
26457_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Салопин О.М.,9-208
26457_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Практическое занятие,Трушкова Е.Л.,9-102
26457_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлусьянов О.В.,9-116
26457_1_01092026_13092026.pdf,07.09.26,понедельник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Пластинина В.Б.,9-102
26457_1_01092026_13092026.pdf,07.09.26,понедельник,14:00-15:30,Общая группа,Строительная механика с основами теории упругости,Лекция,Шишкин В.М.,6-210
26457_1_01092026_13092026.pdf,07.09.26,понедельник,15:45-17:15,Общая группа,Технология строительного производства,Лекция,Бузиков Ш.В.,6-210
26457_1_01092026_13092026.pdf,07.09.26,понедельник,17:20-18:50,Общая группа,Технология строительного производства,Практическое занятие,Бузиков Ш.В.,6-306
26457_1_01092026_13092026.pdf,09.09.26,среда,10:00-11:30,Общая группа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Лабораторная работа,Юркин Ю.В.,6-407
26457_1_01092026_13092026.pdf,09.09.26,среда,11:45-13:15,Общая группа,Проектирование строительных конструкций с автоматизацией строительного проектирования,Лабораторная работа,Юркин Ю.В.,6-407
26457_1_01092026_13092026.pdf,10.09.26,четверг,14:00-15:30,Общая группа,Механика грунтов,Лекция,Никулин А.В.,6-204
26457_1_01092026_13092026.pdf,10.09.26,четверг,15:45-17:15,Общая группа,Технология строительного производства,Практическое занятие,Бузиков Ш.В.,6-405
26457_1_01092026_13092026.pdf,10.09.26,четверг,17:20-18:50,Общая группа,Механика грунтов,Лабораторная работа,Никулин А.В.,6-301
26457_1_01092026_13092026.pdf,10.09.26,четверг,18:55-20:25,Общая группа,Механика грунтов,Лабораторная работа,Никулин А.В.,6-301
26457_1_01092026_13092026.pdf,11.09.26,пятница,10:00-11:30,Общая группа,Сопротивление материалов,Практическое занятие,Одегов В.А.,1-334
26457_1_01092026_13092026.pdf,11.09.26,пятница,11:45-13:15,Общая группа,Сопротивление материалов,Практическое занятие,Одегов В.А.,1-334
26457_1_01092026_13092026.pdf,11.09.26,пятница,14:00-15:30,Общая группа,Сметное дело и ценообразование в строительстве,Лабораторная работа,Седых Т.П.,6-307
26457_1_01092026_13092026.pdf,11.09.26,пятница,15:45-17:15,Общая группа,Сметное дело и ценообразование в строительстве,Лабораторная работа,Седых Т.П.,6-307
