Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ТПДа-1801-01-00.pdf,07.08.20,пятница,11:45-13:15,Общая группа,Научный компонент Зачет по НИ,Не указан,Плотников С.А.,10-205
сессия_ТПДа-1801-01-00.pdf,07.08.20,пятница,10:00-11:30,Общая группа,Методология и методы научного исследования Зачет,Не указан,Останина О.А.,1-236
сессия_ТПДа-1801-01-00.pdf,07.08.20,пятница,11:45-13:15,Общая группа,Методология и методы научного исследования Зачет,Не указан,Останина О.А.,1-236
сессия_ТПДа-1801-01-00.pdf,23.06.26,вторник,10:00-11:30,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_ТПДа-1801-01-00.pdf,23.06.26,вторник,11:45-13:15,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_ТПДа-1801-01-00.pdf,25.06.26,четверг,10:00-11:30,Общая группа,Иностранный язык Консультация,Не указан,Черемисинова Р.А.,15-207
сессия_ТПДа-1801-01-00.pdf,25.06.26,четверг,08:20-09:50,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Береснева В.А.,15-207
сессия_ТПДа-1801-01-00.pdf,25.06.26,четверг,08:20-09:50,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Швецова М.Г.,15-207
сессия_ТПДа-1801-01-00.pdf,25.06.26,четверг,08:20-09:50,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Щербакова Т.В.,15-207
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,10:00-11:30,Общая группа,История и философия науки Консультация,Не указан,Останина О.А.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Городилова Т.С.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Горюнова Т.А.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Останина О.А.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Коротышева Н.Н.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Городилова Т.С.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Горюнова Т.А.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Останина О.А.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Коротышева Н.Н.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Городилова Т.С.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Горюнова Т.А.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Останина О.А.,1-236
сессия_ТПДа-1801-01-00.pdf,13.01.23,пятница,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Коротышева Н.Н.,1-236
