Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_АФКб-4701-51-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Методические основы физической реабилитации Зачет,Не указан,Ковязина Г.В.,19-258
сессия_АФКб-4701-51-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Основы коррекционной педагогики и психологии Зачет,Не указан,Кадочникова Н.И.,19-180
сессия_АФКб-4701-51-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Проектная деятельность Зачет,Не указан,Багина И.С.,19-256
сессия_АФКб-4701-51-00.pdf,14.01.26,среда,10:00-11:30,Общая группа,Частные методики адаптивной физической культуры Защита курсовых работ,Не указан,Беспятых О.Ю.,19-260
сессия_АФКб-4701-51-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Частные методики адаптивной физической культуры Зачет,Не указан,Овсянникова Е.Ю.,19-256
сессия_АФКб-4701-51-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Общая и частная патология Консультация,Не указан,Демина Н.Л.,19-180
сессия_АФКб-4701-51-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Общая и частная патология Экзамен,Не указан,Демина Н.Л.,15-117
сессия_АФКб-4701-51-00.pdf,22.01.26,четверг,08:20-09:50,Общая группа,Теория и организация адаптивной физической культуры Консультация,Не указан,Овсянникова Е.Ю.,19-256
сессия_АФКб-4701-51-00.pdf,23.01.26,пятница,08:20-09:50,Общая группа,Теория и организация адаптивной физической культуры Экзамен,Не указан,Овсянникова Е.Ю.,19-256
сессия_АФКб-4701-51-00.pdf,26.01.26,понедельник,08:20-09:50,Общая группа,Технологии физкультурно-спортивной деятельности в адаптивной физической культуре Консультация,Не указан,Овсянникова Е.Ю.,19-256
сессия_АФКб-4701-51-00.pdf,27.01.26,вторник,08:20-09:50,Общая группа,Технологии физкультурно-спортивной деятельности в адаптивной физической культуре Экзамен,Не указан,Овсянникова Е.Ю.,19-256
