Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ГГб-2501-02-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Современные информационные технологии Зачет,Не указан,Соболева Е.В.,1-126
сессия_ГГб-2501-02-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Современные информационные технологии Зачет,Не указан,Соболева Е.В.,1-126
сессия_ГГб-2501-02-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Технологии социального и профессионального взаимодействия Зачет,Не указан,Копанев А.Н.,1-236
сессия_ГГб-2501-02-00.pdf,09.01.26,пятница,15:45-17:15,Общая группа,Технологии социального и профессионального взаимодействия Зачет,Не указан,Копанев А.Н.,1-236
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,08:20-09:50,Общая группа,Основы российского законодательства Зачет,Не указан,Смирнов М.А.,1-529
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Основы российского законодательства Зачет,Не указан,Смирнов М.А.,1-529
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Общее землеведение Зачет,Не указан,Бородатый И.Л.,15-324
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,11:45-13:15,Общая группа,Общее землеведение Зачет,Не указан,Бородатый И.Л.,15-324
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,15:45-17:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,15:45-17:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (16 485) Зачет,Не указан,Соймонов И.А.,9-209
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,15:45-17:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Шемякин С.М.,15-111
сессия_ГГб-2501-02-00.pdf,10.01.26,суббота,15:45-17:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Ромашов А.Ю.,9-115
