Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ГМб-1601-03-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Политология Зачет,Не указан,Зорин А.В.,16-406
сессия_ГМб-1601-03-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Политология Зачет,Не указан,Зорин А.В.,16-406
сессия_ГМб-1601-03-00.pdf,10.01.26,суббота,08:20-09:50,Общая группа,Основы государственного и муниципального управления Зачет,Не указан,Логинов Д.А.,14-104
сессия_ГМб-1601-03-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Основы государственного и муниципального управления Зачет,Не указан,Логинов Д.А.,14-104
сессия_ГМб-1601-03-00.pdf,12.01.26,понедельник,14:00-15:30,01 подгруппа,Иностранный язык Зачет,Не указан,Бубнова Ю.В.,16-112
сессия_ГМб-1601-03-00.pdf,12.01.26,понедельник,15:45-17:15,01 подгруппа,Иностранный язык Зачет,Не указан,Бубнова Ю.В.,16-112
сессия_ГМб-1601-03-00.pdf,12.01.26,понедельник,17:20-18:50,02 подгруппа,Иностранный язык Зачет,Не указан,Макаров А.Н.,1-227
сессия_ГМб-1601-03-00.pdf,13.01.26,вторник,08:20-09:50,Общая группа,Экономическая теория Зачет,Не указан,Ральникова Е.Л.,16-310
сессия_ГМб-1601-03-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Экономическая теория Зачет,Не указан,Ральникова Е.Л.,16-310
сессия_ГМб-1601-03-00.pdf,14.01.26,среда,08:20-09:50,Общая группа,Современные информационные технологии Зачет,Не указан,Агапитова Е.А.,16-210
сессия_ГМб-1601-03-00.pdf,14.01.26,среда,10:00-11:30,Общая группа,Современные информационные технологии Зачет,Не указан,Агапитова Е.А.,16-210
сессия_ГМб-1601-03-00.pdf,14.01.26,среда,14:00-15:30,Общая группа,Физическая культура и спорт Зачет,Не указан,Шапков Ю.В.,14-108
сессия_ГМб-1601-03-00.pdf,14.01.26,среда,14:00-15:30,Общая группа,Физическая культура и спорт Зачет,Не указан,Полубоярцев С.А.,14-106
сессия_ГМб-1601-03-00.pdf,14.01.26,среда,14:00-15:30,Общая группа,Физическая культура и спорт Зачет,Не указан,Стрельникова И.В.,14-106
сессия_ГМб-1601-03-00.pdf,14.01.26,среда,15:45-17:15,Общая группа,Тайм-менеджмент Зачет,Не указан,Алцыбеева И.Г.,14-122
сессия_ГМб-1601-03-00.pdf,14.01.26,среда,17:20-18:50,Общая группа,Тайм-менеджмент Зачет,Не указан,Алцыбеева И.Г.,14-122
сессия_ГМб-1601-03-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Деловые коммуникации Зачет,Не указан,Метелева О.А.,14-104
сессия_ГМб-1601-03-00.pdf,16.01.26,пятница,11:45-13:15,Общая группа,Деловые коммуникации Зачет,Не указан,Метелева О.А.,14-104
сессия_ГМб-1601-03-00.pdf,17.01.26,суббота,08:20-09:50,Общая группа,Безопасность жизнедеятельности Консультация,Не указан,Попова Г.А.,19-258
сессия_ГМб-1601-03-00.pdf,17.01.26,суббота,15:45-17:15,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Попова Г.А.,19-258
сессия_ГМб-1601-03-00.pdf,17.01.26,суббота,17:20-18:50,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Попова Г.А.,19-258
сессия_ГМб-1601-03-00.pdf,22.01.26,четверг,15:45-17:15,Общая группа,Основы российской государственности Консультация,Не указан,Метелева О.А.,14-104
сессия_ГМб-1601-03-00.pdf,23.01.26,пятница,08:20-09:50,Общая группа,Основы российской государственности Экзамен,Не указан,Метелева О.А.,14-104
сессия_ГМб-1601-03-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Основы российской государственности Экзамен,Не указан,Метелева О.А.,14-104
