Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_Зб-4801-01-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Управление недвижимостью Зачет,Не указан,Березина Е.А.,14-133
сессия_Зб-4801-01-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Проектная деятельность Зачет,Не указан,Мочалов С.В.,6-305
сессия_Зб-4801-01-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Техническая инвентаризация объектов недвижимости Зачет,Не указан,Волоцкой А.Н.,6-405
сессия_Зб-4801-01-00.pdf,14.01.26,среда,10:00-11:30,Общая группа,Оценка недвижимости Защита курсовых проектов,Не указан,Садаков Б.Е.,6-311
сессия_Зб-4801-01-00.pdf,14.01.26,среда,11:45-13:15,Общая группа,Оценка недвижимости Защита курсовых проектов,Не указан,Садаков Б.Е.,6-311
сессия_Зб-4801-01-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Оценка недвижимости Консультация,Не указан,Садаков Б.Е.,6-310
сессия_Зб-4801-01-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Оценка недвижимости Экзамен,Не указан,Садаков Б.Е.,6-310
сессия_Зб-4801-01-00.pdf,16.01.26,пятница,11:45-13:15,Общая группа,Оценка недвижимости Экзамен,Не указан,Садаков Б.Е.,6-310
сессия_Зб-4801-01-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,к и н6 ь2 л 1. е д е 9. 0 н1 о п Управление городскими территориями Консультация,Не указан,Березина Е.А.,14-111
сессия_Зб-4801-01-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Управление городскими территориями Экзамен,Не указан,Березина Е.А.,14-110
сессия_Зб-4801-01-00.pdf,20.01.26,вторник,11:45-13:15,Общая группа,Управление городскими территориями Экзамен,Не указан,Березина Е.А.,14-110
сессия_Зб-4801-01-00.pdf,22.01.26,четверг,10:00-11:30,Общая группа,Кадастр застроенных территорий Консультация,Не указан,Мочалов С.В.,6-309
сессия_Зб-4801-01-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Кадастр застроенных территорий Экзамен,Не указан,Мочалов С.В.,6-309
сессия_Зб-4801-01-00.pdf,23.01.26,пятница,11:45-13:15,Общая группа,Кадастр застроенных территорий Экзамен,Не указан,Мочалов С.В.,6-309
сессия_Зб-4801-01-00.pdf,26.01.26,понедельник,10:00-11:30,Общая группа,Инженерное обустройство территорий населенных пунктов Консультация,Не указан,Зонов А.В.,1-601
сессия_Зб-4801-01-00.pdf,27.01.26,вторник,10:00-11:30,Общая группа,Инженерное обустройство территорий населенных пунктов Экзамен,Не указан,Зонов А.В.,1-601
сессия_Зб-4801-01-00.pdf,27.01.26,вторник,11:45-13:15,Общая группа,Инженерное обустройство территорий населенных пунктов Экзамен,Не указан,Зонов А.В.,1-601
