Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ЛДб-3501-01-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области лесного дела Защита курсовых проектов,Не указан,Березин Г.И.,15-264
сессия_ЛДб-3501-01-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Проектная деятельность в области лесного дела Защита курсовых проектов,Не указан,Березин Г.И.,15-264
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,08:20-09:50,Общая группа,Проектная деятельность в области лесного дела Зачет,Не указан,Березин Г.И.,15-264
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Проектная деятельность в области лесного дела Зачет,Не указан,Березин Г.И.,15-264
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,11:45-13:15,Общая группа,История России Зачет,Не указан,Чучкалов А.В.,15-304
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,14:00-15:30,Общая группа,История России Зачет,Не указан,Чучкалов А.В.,15-304
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,ГИС в лесном деле Зачет,Не указан,Пестов С.В.,15-261
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,11:45-13:15,Общая группа,ГИС в лесном деле Зачет,Не указан,Пестов С.В.,15-261
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Шемякин С.М.,15-111
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 284) Зачет,Не указан,Соймонов И.А.,9-209
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Трушкова Е.Л.,15-111
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 128) Зачет,Не указан,Подковырин В.Д.,19-301
сессия_ЛДб-3501-01-00.pdf,10.01.26,суббота,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Попова Н.Ю.,9-101
сессия_ЛДб-3501-01-00.pdf,14.01.26,среда,10:00-11:30,Общая группа,Биология лесных зверей и птиц Консультация,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Биология лесных зверей и птиц Экзамен,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00.pdf,15.01.26,четверг,11:45-13:15,Общая группа,Биология лесных зверей и птиц Экзамен,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00.pdf,15.01.26,четверг,17:20-18:50,Общая группа,Экономика Консультация,Не указан,Фалалеев А.В.,1-529
сессия_ЛДб-3501-01-00.pdf,20.01.26,вторник,17:20-18:50,Общая группа,Экономика Экзамен,Не указан,Фалалеев А.В.,1-529
сессия_ЛДб-3501-01-00.pdf,20.01.26,вторник,18:55-20:25,Общая группа,Экономика Экзамен,Не указан,Фалалеев А.В.,1-529
сессия_ЛДб-3501-01-00.pdf,22.01.26,четверг,10:00-11:30,Общая группа,Систематика растений Консультация,Не указан,Рябова Е.В.,15-267
сессия_ЛДб-3501-01-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Систематика растений Экзамен,Не указан,Рябова Е.В.,15-267
сессия_ЛДб-3501-01-00.pdf,23.01.26,пятница,11:45-13:15,Общая группа,Систематика растений Экзамен,Не указан,Рябова Е.В.,15-267
сессия_ЛДб-3501-01-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Лесоведение Консультация,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00.pdf,27.01.26,вторник,10:00-11:30,Общая группа,Лесоведение Экзамен,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00.pdf,27.01.26,вторник,11:45-13:15,Общая группа,Лесоведение Экзамен,Не указан,Рябов В.М.,15-263
