Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_МЛб-1801-02-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Информационные технологии в профессиональной деятельности Зачет,Не указан,Чернявский В.Б.,10-206
сессия_МЛб-1801-02-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Математика Зачет,Не указан,Широков Д.В.,2-312
сессия_МЛб-1801-02-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Эффективные коммуникации Зачет,Не указан,Федянина О.Н.,2-312
сессия_МЛб-1801-02-00.pdf,13.01.26,вторник,14:00-15:30,Общая группа,Физическая культура и спорт Зачет,Не указан,Стрельникова И.В.,1-227а
сессия_МЛб-1801-02-00.pdf,14.01.26,среда,08:20-09:50,Общая группа,Физика Зачет,Не указан,Гребенщиков М.Л.,2-207
сессия_МЛб-1801-02-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Иностранный язык Зачет,Не указан,Деньгина М.Р.,1-222
сессия_МЛб-1801-02-00.pdf,15.01.26,четверг,11:45-13:15,Общая группа,Тайм менеджмент Зачет,Не указан,Ичетовкина С.А.,1-227а
сессия_МЛб-1801-02-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Инженерная графика Зачет,Не указан,Ведерников Я.Д.,1-601
сессия_МЛб-1801-02-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Введение в профессию Консультация,Не указан,Корепанов Д.А.,1-227а
сессия_МЛб-1801-02-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Введение в профессию Экзамен,Не указан,Корепанов Д.А.,1-227а
сессия_МЛб-1801-02-00.pdf,22.01.26,четверг,10:00-11:30,Общая группа,Основы российской государственности Консультация,Не указан,Ичетовкина С.А.,1-227а
сессия_МЛб-1801-02-00.pdf,23.01.26,пятница,08:20-09:50,Общая группа,Основы российской государственности Экзамен,Не указан,Ичетовкина С.А.,1-227а
