Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ПМИб-2302-52-00.pdf,09.01.26,пятница,08:20-09:50,Общая группа,Архитектура вычислительных систем Зачет,Не указан,Ляпунов Д.Ю.,16-415
сессия_ПМИб-2302-52-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Архитектура вычислительных систем Зачет,Не указан,Ляпунов Д.Ю.,16-415
сессия_ПМИб-2302-52-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Основы российского законодательства Зачет,Не указан,Смирнов М.А.,16-410
сессия_ПМИб-2302-52-00.pdf,09.01.26,пятница,15:45-17:15,Общая группа,Основы российского законодательства Зачет,Не указан,Смирнов М.А.,16-410
сессия_ПМИб-2302-52-00.pdf,13.01.26,вторник,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Киселева Н.В.,14-106
сессия_ПМИб-2302-52-00.pdf,15.01.26,четверг,08:20-09:50,Общая группа,Математика Консультация,Не указан,Подлевских М.Н.,14-221
сессия_ПМИб-2302-52-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Математика Экзамен,Не указан,Подлевских М.Н.,14-221
сессия_ПМИб-2302-52-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Математика Экзамен,Не указан,Подлевских М.Н.,14-221
сессия_ПМИб-2302-52-00.pdf,16.01.26,пятница,11:45-13:15,Общая группа,Математика Экзамен,Не указан,Подлевских М.Н.,14-221
сессия_ПМИб-2302-52-00.pdf,16.01.26,пятница,14:00-15:30,Общая группа,Математика Экзамен,Не указан,Подлевских М.Н.,14-221
сессия_ПМИб-2302-52-00.pdf,17.01.26,суббота,10:00-11:30,Общая группа,Классические алгоритмы и структуры данных Консультация,Не указан,Котельникова А.В.,16-411
сессия_ПМИб-2302-52-00.pdf,17.01.26,суббота,10:00-11:30,Общая группа,Классические алгоритмы и структуры данных Экзамен,Не указан,Котельникова А.В.,16-320
сессия_ПМИб-2302-52-00.pdf,17.01.26,суббота,11:45-13:15,Общая группа,Классические алгоритмы и структуры данных Экзамен,Не указан,Котельникова А.В.,16-320
сессия_ПМИб-2302-52-00.pdf,21.01.26,среда,10:00-11:30,Общая группа,Дифференциальные уравнения Консультация,Не указан,Здоровенко М.Ю.,14-234
сессия_ПМИб-2302-52-00.pdf,22.01.26,четверг,10:00-11:30,Общая группа,Дифференциальные уравнения Экзамен,Не указан,Здоровенко М.Ю.,14-234
сессия_ПМИб-2302-52-00.pdf,22.01.26,четверг,11:45-13:15,Общая группа,Дифференциальные уравнения Экзамен,Не указан,Здоровенко М.Ю.,14-234
сессия_ПМИб-2302-52-00.pdf,24.01.26,суббота,10:00-11:30,Общая группа,Дискретная математика Консультация,Не указан,Пушкарев И.А.,16-405
сессия_ПМИб-2302-52-00.pdf,24.01.26,суббота,10:00-11:30,Общая группа,Дискретная математика Экзамен,Не указан,Пушкарев И.А.,16-405
сессия_ПМИб-2302-52-00.pdf,24.01.26,суббота,11:45-13:15,Общая группа,Дискретная математика Экзамен,Не указан,Пушкарев И.А.,16-405
