Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ППОб-4701-01-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Взаимодействие детского сада с семьей Зачет,Не указан,Малова Т.В.,15-132
сессия_ППОб-4701-01-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Теории и технологии детской образовательной робототехники Зачет,Не указан,Балыбердина Т.П.,15-245
сессия_ППОб-4701-01-00.pdf,09.01.26,пятница,15:45-17:15,Общая группа,Теории и технологии детской образовательной робототехники Зачет,Не указан,Балыбердина Т.П.,15-245
сессия_ППОб-4701-01-00.pdf,12.01.26,понедельник,11:45-13:15,Общая группа,Психолого-педагогические теории и технологии развития детского изобразительного творчества Консультация,Не указан,Александрова Н.С.,15-102
сессия_ППОб-4701-01-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Психолого-педагогические теории и технологии развития детского изобразительного творчества Экзамен,Не указан,Александрова Н.С.,15-102
сессия_ППОб-4701-01-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Предшкольное образование Консультация,Не указан,Рублева Ю.Ю.,15-125
сессия_ППОб-4701-01-00.pdf,17.01.26,суббота,08:20-09:50,Общая группа,Предшкольное образование Экзамен,Не указан,Рублева Ю.Ю.,15-102
сессия_ППОб-4701-01-00.pdf,17.01.26,суббота,10:00-11:30,Общая группа,Предшкольное образование Экзамен,Не указан,Рублева Ю.Ю.,15-102
сессия_ППОб-4701-01-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Развитие детского музыкального творчества Консультация,Не указан,Лучинина М.И.,14-233
сессия_ППОб-4701-01-00.pdf,21.01.26,среда,08:20-09:50,Общая группа,Развитие детского музыкального творчества Экзамен,Не указан,Лучинина М.И.,15-102
сессия_ППОб-4701-01-00.pdf,21.01.26,среда,10:00-11:30,Общая группа,Развитие детского музыкального творчества Экзамен,Не указан,Лучинина М.И.,15-102
сессия_ППОб-4701-01-00.pdf,21.01.26,среда,11:45-13:15,Общая группа,Развитие детского музыкального творчества Экзамен,Не указан,Лучинина М.И.,15-102
