Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Статическая биохимия Зачет,Не указан,Сазанов А.В.,15-418
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Статическая биохимия Зачет,Не указан,Сазанов А.В.,15-418
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Бурков А.А.,1-521
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Вохмянин М.А.,1-032д
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Широкова Е.С.,1-032г
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Шилов И.Б.,1-032е
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Бурков А.А.,1-521
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Вохмянин М.А.,1-032д
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Широкова Е.С.,1-032г
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Проектная деятельность в области переработки полимеров Защита курсовых проектов,Не указан,Шилов И.Б.,1-032е
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области переработки полимеров Зачет,Не указан,Вохмянин М.А.,1-032д
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области переработки полимеров Зачет,Не указан,Бурков А.А.,1-521
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Проектная деятельность в области переработки полимеров Зачет,Не указан,Вохмянин М.А.,1-032д
сессия_ХТб-4501-07-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Проектная деятельность в области переработки полимеров Зачет,Не указан,Бурков А.А.,1-521
сессия_ХТб-4501-07-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Материаловедение для изделий из эластомеров Консультация,Не указан,Бурков А.А.,1-032д
сессия_ХТб-4501-07-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Материаловедение для изделий из эластомеров Экзамен,Не указан,Бурков А.А.,1-032д
сессия_ХТб-4501-07-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Материаловедение для изделий из эластомеров Экзамен,Не указан,Бурков А.А.,1-032д
сессия_ХТб-4501-07-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Материаловедение для изделий из пластмасс Консультация,Не указан,Широкова Е.С.,1-032д
сессия_ХТб-4501-07-00.pdf,20.01.26,вторник,08:20-09:50,Общая группа,Материаловедение для изделий из пластмасс Экзамен,Не указан,Широкова Е.С.,1-032д
сессия_ХТб-4501-07-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Материаловедение для изделий из пластмасс Экзамен,Не указан,Широкова Е.С.,1-032д
сессия_ХТб-4501-07-00.pdf,22.01.26,четверг,11:45-13:15,Общая группа,Безопасность жизнедеятельности Консультация,Не указан,Горностаева Е.А.,1-515
сессия_ХТб-4501-07-00.pdf,23.01.26,пятница,14:00-15:30,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Горностаева Е.А.,1-515
сессия_ХТб-4501-07-00.pdf,23.01.26,пятница,15:45-17:15,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Горностаева Е.А.,1-515
