Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,08:20-09:50,Общая группа,Архитектурное материаловедение Зачет,Не указан,Полевщиков А.С.,6-401
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Архитектурное материаловедение Зачет,Не указан,Полевщиков А.С.,6-401
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Хлусьянов О.В.,9-116
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 124) Зачет,Не указан,Пластинина В.Б.,9-102
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Салопин О.М.,9-208
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (16 485) Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Попова Н.Ю.,9-101
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Землеустройство и кадастр Зачет,Не указан,Мочалов С.В.,6-309
сессия_ГСб-3801-01-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Землеустройство и кадастр Зачет,Не указан,Мочалов С.В.,6-309
сессия_ГСб-3801-01-00_1.pdf,11.06.26,четверг,15:45-17:15,Общая группа,Основы строительного производства Консультация,Не указан,Бузиков Ш.В.,6-306
сессия_ГСб-3801-01-00_1.pdf,11.06.26,четверг,15:45-17:15,Общая группа,Основы строительного производства Экзамен,Не указан,Бузиков Ш.В.,6-306
сессия_ГСб-3801-01-00_1.pdf,11.06.26,четверг,17:20-18:50,Общая группа,Основы строительного производства Экзамен,Не указан,Бузиков Ш.В.,6-306
сессия_ГСб-3801-01-00_1.pdf,18.06.26,четверг,08:20-09:50,Общая группа,Основы информационных систем градостроительной деятельности Консультация,Не указан,Писарев А.А.,6-403
сессия_ГСб-3801-01-00_1.pdf,19.06.26,пятница,10:00-11:30,Общая группа,Основы информационных систем градостроительной деятельности Экзамен,Не указан,Писарев А.А.,6-403
сессия_ГСб-3801-01-00_1.pdf,19.06.26,пятница,11:45-13:15,Общая группа,Основы информационных систем градостроительной деятельности Экзамен,Не указан,Писарев А.А.,6-403
сессия_ГСб-3801-01-00_1.pdf,20.06.26,суббота,15:45-17:15,Общая группа,Китайский язык Зачет,Не указан,Байкова А.В.,1-311
сессия_ГСб-3801-01-00_1.pdf,23.06.26,вторник,10:00-11:30,Общая группа,Транспорт Зачет,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,23.06.26,вторник,11:45-13:15,Общая группа,Транспорт Зачет,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,23.06.26,вторник,14:00-15:30,Общая группа,Проектная деятельность Зачет,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,23.06.26,вторник,15:45-17:15,Общая группа,Проектная деятельность Зачет,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,24.06.26,среда,08:20-09:50,Общая группа,Градостроительное прогнозирование Защита курсовых проектов,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,24.06.26,среда,10:00-11:30,Общая группа,Градостроительное прогнозирование Защита курсовых проектов,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,24.06.26,среда,11:45-13:15,Общая группа,Градостроительное прогнозирование Консультация,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,25.06.26,четверг,10:00-11:30,Общая группа,Градостроительное прогнозирование Экзамен,Не указан,Соболева И.А.,1-423
сессия_ГСб-3801-01-00_1.pdf,25.06.26,четверг,11:45-13:15,Общая группа,Градостроительное прогнозирование Экзамен,Не указан,Соболева И.А.,1-423
