Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_СЦб-2201-02-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Крестьянинова О.В.,14-147
сессия_СЦб-2201-02-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 284) Зачет,Не указан,Авдеева М.С.,13-001
сессия_СЦб-2201-02-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Мешенина Н.В.,14-108
сессия_СЦб-2201-02-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Рябова Ю.С.,14-115
сессия_СЦб-2201-02-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Логика Зачет,Не указан,Ефимова Н.М.,14-222
сессия_СЦб-2201-02-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Логика Зачет,Не указан,Ефимова Н.М.,14-222
сессия_СЦб-2201-02-00_1.pdf,10.06.26,среда,10:00-11:30,Общая группа,"Организация, подготовка и презентация социологических исследований Зачет",Не указан,Москвин А.С.,14-133
сессия_СЦб-2201-02-00_1.pdf,10.06.26,среда,11:45-13:15,Общая группа,"Организация, подготовка и презентация социологических исследований Зачет",Не указан,Москвин А.С.,14-133
сессия_СЦб-2201-02-00_1.pdf,11.06.26,четверг,10:00-11:30,Общая группа,Креативные индустрии Зачет,Не указан,Колобова Ю.И.,14-202
сессия_СЦб-2201-02-00_1.pdf,11.06.26,четверг,11:45-13:15,Общая группа,Креативные индустрии Зачет,Не указан,Колобова Ю.И.,14-202
сессия_СЦб-2201-02-00_1.pdf,15.06.26,понедельник,08:20-09:50,Общая группа,Практикум по прикладным социологическим исследованиям Зачет Бушкова,Не указан,Шиклина Э.В.,14-133
сессия_СЦб-2201-02-00_1.pdf,15.06.26,понедельник,10:00-11:30,Общая группа,Практикум по прикладным социологическим исследованиям Зачет Бушкова,Не указан,Шиклина Э.В.,14-133
сессия_СЦб-2201-02-00_1.pdf,16.06.26,вторник,08:20-09:50,Общая группа,Теория и практика социального взаимодействия Зачет,Не указан,Бородатая М.Н.,14-334
сессия_СЦб-2201-02-00_1.pdf,16.06.26,вторник,10:00-11:30,Общая группа,Теория и практика социального взаимодействия Зачет,Не указан,Бородатая М.Н.,14-334
сессия_СЦб-2201-02-00_1.pdf,18.06.26,четверг,10:00-11:30,Общая группа,Безопасность жизнедеятельности Консультация,Не указан,Постников Н.К.,19-258
сессия_СЦб-2201-02-00_1.pdf,19.06.26,пятница,11:45-13:15,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Постников Н.К.,19-258
сессия_СЦб-2201-02-00_1.pdf,19.06.26,пятница,14:00-15:30,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Постников Н.К.,19-258
сессия_СЦб-2201-02-00_1.pdf,19.06.26,пятница,08:20-09:50,Общая группа,Методология и методы социологического исследования Консультация Бушкова,Не указан,Шиклина Э.В.,14-133
сессия_СЦб-2201-02-00_1.pdf,19.06.26,пятница,10:00-11:30,Общая группа,Методология и методы социологического исследования Защита курсовых работ,Не указан,Бушкова-Шиклина Э.В.,14-133
сессия_СЦб-2201-02-00_1.pdf,19.06.26,пятница,10:00-11:30,Общая группа,Методология и методы социологического исследования Защита курсовых работ,Не указан,Кушова И.А.,14-130
сессия_СЦб-2201-02-00_1.pdf,19.06.26,пятница,10:00-11:30,Общая группа,Методология и методы социологического исследования Защита курсовых работ,Не указан,Москвин А.С.,14-136
сессия_СЦб-2201-02-00_1.pdf,23.06.26,вторник,08:20-09:50,Общая группа,Методология и методы социологического исследования Экзамен,Не указан,Бушкова-Шиклина Э.В.,14-133
сессия_СЦб-2201-02-00_1.pdf,23.06.26,вторник,10:00-11:30,Общая группа,Методология и методы социологического исследования Экзамен,Не указан,Бушкова-Шиклина Э.В.,14-133
сессия_СЦб-2201-02-00_1.pdf,25.06.26,четверг,08:20-09:50,Общая группа,Основы управления персоналом Консультация,Не указан,Ситникова Е.Л.,14-211
сессия_СЦб-2201-02-00_1.pdf,26.06.26,пятница,08:20-09:50,Общая группа,Основы управления персоналом Экзамен,Не указан,Ситникова Е.Л.,14-211
сессия_СЦб-2201-02-00_1.pdf,26.06.26,пятница,10:00-11:30,Общая группа,Основы управления персоналом Экзамен,Не указан,Ситникова Е.Л.,14-211
