Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ЭиЭм-1802-02-00_1.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности Зачет,Не указан,Злобина Е.А.,6-202
сессия_ЭиЭм-1802-02-00_1.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности Зачет,Не указан,Злобина Е.А.,6-202
сессия_ЭиЭм-1802-02-00_1.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Проектирование вентильных двигателей Зачет,Не указан,Ишутинов В.В.,6-310
сессия_ЭиЭм-1802-02-00_1.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Тепловые расчеты в электромеханике Зачет,Не указан,Малышева Н.М.,8-413
сессия_ЭиЭм-1802-02-00_1.pdf,10.06.26,среда,17:20-18:50,Общая группа,Специальные электротехнические материалы Зачет,Не указан,Фоминых А.А.,6-204
сессия_ЭиЭм-1802-02-00_1.pdf,11.06.26,четверг,17:20-18:50,Общая группа,Специальный курс электрических аппаратов Защита курсовых работ,Не указан,Тимошенко В.Н.,6-306
сессия_ЭиЭм-1802-02-00_1.pdf,11.06.26,четверг,17:20-18:50,Общая группа,Методы технического творчества Консультация,Не указан,Шестаков А.В.,10-214
сессия_ЭиЭм-1802-02-00_1.pdf,16.06.26,вторник,17:20-18:50,Общая группа,Методы технического творчества Экзамен,Не указан,Шестаков А.В.,6-311
сессия_ЭиЭм-1802-02-00_1.pdf,18.06.26,четверг,17:20-18:50,Общая группа,Специальный курс электрических аппаратов Консультация,Не указан,Тимошенко В.Н.,8-305
сессия_ЭиЭм-1802-02-00_1.pdf,19.06.26,пятница,17:20-18:50,Общая группа,Специальный курс электрических аппаратов Экзамен,Не указан,Тимошенко В.Н.,8-305
сессия_ЭиЭм-1802-02-00_1.pdf,23.06.26,вторник,17:20-18:50,Общая группа,Оптимальное управление электротехническими комплексами Консультация,Не указан,Грудинин В.С.,7-013
сессия_ЭиЭм-1802-02-00_1.pdf,24.06.26,среда,17:20-18:50,Общая группа,Оптимальное управление электротехническими комплексами Экзамен,Не указан,Грудинин В.С.,7-013
