Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,11:45-13:15,Общая группа,Проектирование предметно-пространственной среды Зачет,Не указан,Николаев А.Л.,17-351
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,14:00-15:30,Общая группа,"История дизайна, науки и техники Зачет",Не указан,Бурдин Н.П.,17-457
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 124) Зачет,Не указан,Соймонов И.А.,9-209
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Ромашов А.Ю.,9-115
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Ромашов А.Ю.,9-115
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Попова Н.Ю.,9-101
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,14:00-15:30,Общая группа,Компьютерная графика Зачет,Не указан,Бурдин Н.П.,17-351
сессия_Дб-3801-03-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Технологии социального и профессионального взаимодействия Зачет,Не указан,Шишкина А.Н.,2-311
сессия_Дб-3801-03-00.pdf,10.01.26,суббота,11:45-13:15,Общая группа,Технологии социального и профессионального взаимодействия Зачет,Не указан,Шишкина А.Н.,2-311
сессия_Дб-3801-03-00.pdf,12.01.26,понедельник,10:00-11:30,Общая группа,Системный инжиниринг Защита курсовых проектов,Не указан,Лисовский В.А.,10-203
сессия_Дб-3801-03-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Системный инжиниринг Зачет,Не указан,Лисовский В.А.,10-203
сессия_Дб-3801-03-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Эргономика предметно-пространственной среды Консультация,Не указан,Шапин Е.В.,17-266
сессия_Дб-3801-03-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Эргономика предметно-пространственной среды Экзамен,Не указан,Шапин Е.В.,17-266
сессия_Дб-3801-03-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,к и н6 ь2 л 1. е д е 9. 0 н1 о п Веб-дизайн Консультация,Не указан,Егорова С.И.,17-351
сессия_Дб-3801-03-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Основы гейм-дизайна Консультация,Не указан,Бурдин Н.П.,17-351
сессия_Дб-3801-03-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Основы гейм-дизайна Экзамен,Не указан,Бурдин Н.П.,17-351
сессия_Дб-3801-03-00.pdf,20.01.26,вторник,11:45-13:15,Общая группа,Веб-дизайн Экзамен,Не указан,Егорова С.И.,17-351
сессия_Дб-3801-03-00.pdf,22.01.26,четверг,08:20-09:50,Общая группа,Основы UX-проектирования Консультация,Не указан,Ануфриев Д.С.,6-407
сессия_Дб-3801-03-00.pdf,23.01.26,пятница,08:20-09:50,Общая группа,Основы UX-проектирования Экзамен,Не указан,Ануфриев Д.С.,6-407
