Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Шапков Ю.В.,14-108
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Рябова Ю.С.,14-108
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет .,Не указан,Киселева Н.В.,13-002
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Стрельникова И.В.,14-106
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 284) Зачет .,Не указан,Боков А.В.,13-001
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Крестьянинова О.В.,14-147
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Загребина Л.А.,14-115
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 128) Зачет,Не указан,Авдеева М.С.,19-301
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,14:00-15:30,Общая группа,Философия Зачет,Не указан,Бурдина Е.С.,13-609
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,15:45-17:15,Общая группа,Философия Зачет,Не указан,Бурдина Е.С.,13-609
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,10:00-11:30,Общая группа,Международное право Зачет,Не указан,Гордеева Е.М.,13-402
сессия_ПНБс-2902-02-00.pdf,10.01.26,суббота,11:45-13:15,Общая группа,Международное право Зачет,Не указан,Гордеева Е.М.,13-402
сессия_ПНБс-2902-02-00.pdf,12.01.26,понедельник,14:00-15:30,Общая группа,Трудовое право Зачет,Не указан,Кодолов В.А.,13-607
сессия_ПНБс-2902-02-00.pdf,12.01.26,понедельник,15:45-17:15,Общая группа,Трудовое право Зачет,Не указан,Кодолов В.А.,13-607
сессия_ПНБс-2902-02-00.pdf,13.01.26,вторник,14:00-15:30,Общая группа,Уголовное право (Общая часть) Защита курсовых работ,Не указан,Юрков С.А.,13-408
сессия_ПНБс-2902-02-00.pdf,13.01.26,вторник,15:45-17:15,Общая группа,Уголовное право (Общая часть) Защита курсовых работ,Не указан,Юрков С.А.,13-408
сессия_ПНБс-2902-02-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Уголовное право (Общая часть) Консультация,Не указан,Юрков С.А.,13-408
сессия_ПНБс-2902-02-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Уголовное право (Общая часть) Экзамен,Не указан,Юрков С.А.,13-408
сессия_ПНБс-2902-02-00.pdf,16.01.26,пятница,11:45-13:15,Общая группа,Уголовное право (Общая часть) Экзамен,Не указан,Юрков С.А.,13-408
сессия_ПНБс-2902-02-00.pdf,20.01.26,вторник,08:20-09:50,Общая группа,Административное право Консультация,Не указан,Мамаева А.Н.,13-508
сессия_ПНБс-2902-02-00.pdf,21.01.26,среда,10:00-11:30,Общая группа,Административное право Экзамен,Не указан,Мамаева А.Н.,13-508
сессия_ПНБс-2902-02-00.pdf,21.01.26,среда,11:45-13:15,Общая группа,Административное право Экзамен,Не указан,Мамаева А.Н.,13-508
сессия_ПНБс-2902-02-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Гражданское право Консультация,Не указан,Лебедева О.Н.,13-405
сессия_ПНБс-2902-02-00.pdf,24.01.26,суббота,10:00-11:30,Общая группа,Гражданское право Экзамен,Не указан,Лебедева О.Н.,13-510
сессия_ПНБс-2902-02-00.pdf,24.01.26,суббота,11:45-13:15,Общая группа,Гражданское право Экзамен,Не указан,Лебедева О.Н.,13-510
