Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24946_2_11052026_24052026.pdf,11.05.26,понедельник,10:00-11:30,01 подгруппа,Теоретические основы биотехнологии Базарбаева В..,Лабораторная работа,Не указан,1-328
24946_2_11052026_24052026.pdf,11.05.26,понедельник,11:45-13:15,01 подгруппа,Теоретические основы биотехнологии Базарбаева В..,Лабораторная работа,Не указан,1-328
24946_2_11052026_24052026.pdf,11.05.26,понедельник,14:00-15:30,Общая группа,Деловая коммуникация на иностранном языке,Практическое занятие,Шалагинова Е.А.,1-530
24946_2_11052026_24052026.pdf,11.05.26,понедельник,15:45-17:15,Общая группа,Деловая коммуникация на иностранном языке,Практическое занятие,Шалагинова Е.А.,1-530
24946_2_11052026_24052026.pdf,12.05.26,вторник,10:00-11:30,Общая группа,Современные информационные технологии,Лекция,Широков А.А.,1-439
24946_2_11052026_24052026.pdf,12.05.26,вторник,11:45-13:15,Общая группа,Экономика,Практическое занятие,Ральникова Е.Л.,1-401
24946_2_11052026_24052026.pdf,12.05.26,вторник,14:00-15:30,Общая группа,Экономика,Практическое занятие,Ральникова Е.Л.,1-236
24946_2_11052026_24052026.pdf,12.05.26,вторник,15:45-17:15,Общая группа,Теоретические основы биотехнологии,Лекция,Шуплецова О.Н.,1-534
24946_2_11052026_24052026.pdf,13.05.26,среда,10:00-11:30,01 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , Элективные дисциплины (модули) по",Практическое занятие,Хлусьянов О.В.,9-116
24946_2_11052026_24052026.pdf,13.05.26,среда,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Салопин О.М.,9-301
24946_2_11052026_24052026.pdf,13.05.26,среда,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Пластинина В.Б.,9-208
24946_2_11052026_24052026.pdf,13.05.26,среда,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Хвостенко С.Ю.,9-101
24946_2_11052026_24052026.pdf,13.05.26,среда,14:00-15:30,01 подгруппа,Биохимия,Лабораторная работа,Лундовских И.А.,1-118
24946_2_11052026_24052026.pdf,13.05.26,среда,14:00-15:30,02 подгруппа,Биохимия,Лабораторная работа,Лундовских И.А.,1-118
24946_2_11052026_24052026.pdf,13.05.26,среда,15:45-17:15,01 подгруппа,Биохимия,Лабораторная работа,Лундовских И.А.,1-118
24946_2_11052026_24052026.pdf,13.05.26,среда,15:45-17:15,02 подгруппа,Биохимия,Лабораторная работа,Лундовских И.А.,1-118
24946_2_11052026_24052026.pdf,14.05.26,четверг,08:20-09:50,Общая группа,Технологии социального и профессионального взаимодействия,Лекция,Солоницына Ю.С.,1-242
24946_2_11052026_24052026.pdf,14.05.26,четверг,10:00-11:30,Общая группа,Микробиология,Лекция,Широких И.Г.,1-242
24946_2_11052026_24052026.pdf,14.05.26,четверг,11:45-13:15,Общая группа,История России,Лекция,Харин А.Н.,1-242
24946_2_11052026_24052026.pdf,15.05.26,пятница,08:20-09:50,Общая группа,История России,Практическое занятие,Харин А.Н.,1-334
24946_2_11052026_24052026.pdf,15.05.26,пятница,10:00-11:30,Общая группа,Биохимия,Лекция,Лундовских И.А.,1-128
24946_2_11052026_24052026.pdf,15.05.26,пятница,11:45-13:15,Общая группа,Биохимия,Практическое занятие,Лундовских И.А.,1-128
24946_2_11052026_24052026.pdf,18.05.26,понедельник,10:00-11:30,01 подгруппа,Микробиология,Лабораторная работа,Завалин Р.Ю.,4-003
24946_2_11052026_24052026.pdf,18.05.26,понедельник,10:00-11:30,02 подгруппа,Микробиология,Лабораторная работа,Завалин Р.Ю.,4-003
24946_2_11052026_24052026.pdf,18.05.26,понедельник,11:45-13:15,01 подгруппа,Микробиология,Лабораторная работа,Завалин Р.Ю.,4-003
24946_2_11052026_24052026.pdf,18.05.26,понедельник,11:45-13:15,02 подгруппа,Микробиология,Лабораторная работа,Завалин Р.Ю.,4-003
24946_2_11052026_24052026.pdf,18.05.26,понедельник,14:00-15:30,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Солоницына Ю.С.,1-516
24946_2_11052026_24052026.pdf,18.05.26,понедельник,15:45-17:15,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Солоницына Ю.С.,1-516
24946_2_11052026_24052026.pdf,19.05.26,вторник,11:45-13:15,Общая группа,Деловая коммуникация на иностранном языке,Практическое занятие,Шалагинова Е.А.,1-529
24946_2_11052026_24052026.pdf,19.05.26,вторник,14:00-15:30,Общая группа,Микробиология,Практическое занятие,Завалин Р.Ю.,4-104
24946_2_11052026_24052026.pdf,19.05.26,вторник,15:45-17:15,Общая группа,Теоретические основы биотехнологии,Лекция,Шуплецова О.Н.,1-534
24946_2_11052026_24052026.pdf,19.05.26,вторник,17:20-18:50,Общая группа,Теоретические основы биотехнологии,Практическое занятие,Шуплецова О.Н.,1-534
