Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25383_2_11052026_24052026.pdf,11.05.26,понедельник,17:20-18:50,Общая группа,"Технологии сбора, выращивания и хранения растительного сырья",Лекция,Коновалова И.А.,4-308
25383_2_11052026_24052026.pdf,11.05.26,понедельник,18:55-20:25,Общая группа,"Технологии сбора, выращивания и хранения растительного сырья",Практическое занятие,Коновалова И.А.,4-308
25383_2_11052026_24052026.pdf,12.05.26,вторник,17:20-18:50,Общая группа,Систематика растений,Лабораторная работа,Душина Е.Э.,4-406
25383_2_11052026_24052026.pdf,12.05.26,вторник,18:55-20:25,Общая группа,Систематика растений,Лабораторная работа,Душина Е.Э.,4-406
25383_2_11052026_24052026.pdf,13.05.26,среда,17:20-18:50,Общая группа,Философские проблемы современной науки,Лекция,Останина О.А.,1-531
25383_2_11052026_24052026.pdf,13.05.26,среда,18:55-20:25,Общая группа,Философские проблемы современной науки,Практическое занятие,Останина О.А.,1-531
25383_2_11052026_24052026.pdf,14.05.26,четверг,17:20-18:50,Общая группа,Технология переработки растительного сырья,Лабораторная работа,Коновалова И.А.,4-506
25383_2_11052026_24052026.pdf,14.05.26,четверг,18:55-20:25,Общая группа,Технология переработки растительного сырья,Лабораторная работа,Коновалова И.А.,4-506
25383_2_11052026_24052026.pdf,15.05.26,пятница,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Пономаренко Л.Н.,1-236
25383_2_11052026_24052026.pdf,15.05.26,пятница,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Пономаренко Л.Н.,1-236
25383_2_11052026_24052026.pdf,16.05.26,суббота,08:20-09:50,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,16.05.26,суббота,10:00-11:30,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,16.05.26,суббота,11:45-13:15,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,16.05.26,суббота,14:00-15:30,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,16.05.26,суббота,15:45-17:15,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,18.05.26,понедельник,17:20-18:50,Общая группа,Систематика растений,Лекция,Душина Е.Э.,4-302
25383_2_11052026_24052026.pdf,19.05.26,вторник,08:20-09:50,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,19.05.26,вторник,10:00-11:30,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,19.05.26,вторник,11:45-13:15,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,19.05.26,вторник,14:00-15:30,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,19.05.26,вторник,15:45-17:15,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120
25383_2_11052026_24052026.pdf,20.05.26,среда,08:20-09:50,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-118
25383_2_11052026_24052026.pdf,20.05.26,среда,10:00-11:30,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-118
25383_2_11052026_24052026.pdf,20.05.26,среда,11:45-13:15,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-118
25383_2_11052026_24052026.pdf,21.05.26,четверг,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Пономаренко Л.Н.,1-236
25383_2_11052026_24052026.pdf,22.05.26,пятница,17:20-18:50,Общая группа,Технология переработки растительного сырья,Лекция,Коновалова И.А.,4-308
25383_2_11052026_24052026.pdf,23.05.26,суббота,08:20-09:50,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120а
25383_2_11052026_24052026.pdf,23.05.26,суббота,10:00-11:30,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120а
25383_2_11052026_24052026.pdf,23.05.26,суббота,11:45-13:15,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120а
25383_2_11052026_24052026.pdf,23.05.26,суббота,14:00-15:30,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120а
25383_2_11052026_24052026.pdf,23.05.26,суббота,15:45-17:15,Общая группа,"Производственная практика № 2, научно-исследовательская работа",Не указан,Не указан,1-120а
