Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_МНб-4602-04-00.pdf,12.01.26,понедельник,08:20-09:50,Общая группа,Управление качеством и конкурентоспособностью продукции Зачет,Не указан,Березина Е.А.,14-201
сессия_МНб-4602-04-00.pdf,12.01.26,понедельник,10:00-11:30,Общая группа,Управление качеством и конкурентоспособностью продукции Зачет,Не указан,Березина Е.А.,14-201
сессия_МНб-4602-04-00.pdf,13.01.26,вторник,14:00-15:30,Общая группа,Организация учета и налогообложение бизнеса (в сфере маркетинга) Зачет,Не указан,Беспятых А.В.,16-217
сессия_МНб-4602-04-00.pdf,13.01.26,вторник,15:45-17:15,Общая группа,Организация учета и налогообложение бизнеса (в сфере маркетинга) Зачет,Не указан,Беспятых А.В.,16-217
сессия_МНб-4602-04-00.pdf,13.01.26,вторник,17:20-18:50,Общая группа,Управление командой проекта (в маркетинге) Зачет,Не указан,Метелева О.А.,14-121
сессия_МНб-4602-04-00.pdf,13.01.26,вторник,18:55-20:25,Общая группа,Управление командой проекта (в маркетинге) Зачет,Не указан,Метелева О.А.,14-121
сессия_МНб-4602-04-00.pdf,15.01.26,четверг,17:20-18:50,Общая группа,Управление бизнес-процессами (в сфере маркетинга) Защита курсовых проектов,Не указан,Ганебных Е.В.,14-114
сессия_МНб-4602-04-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Маркетинг территорий Консультация,Не указан,Березина Е.А.,14-111
сессия_МНб-4602-04-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Маркетинг территорий Экзамен,Не указан,Березина Е.А.,14-111
сессия_МНб-4602-04-00.pdf,16.01.26,пятница,11:45-13:15,Общая группа,Маркетинг территорий Экзамен,Не указан,Березина Е.А.,14-111
сессия_МНб-4602-04-00.pdf,22.01.26,четверг,15:45-17:15,Общая группа,Управление бизнес-процессами (в сфере маркетинга) Консультация,Не указан,Ганебных Е.В.,14-122
сессия_МНб-4602-04-00.pdf,23.01.26,пятница,14:00-15:30,Общая группа,Управление бизнес-процессами (в сфере маркетинга) Экзамен,Не указан,Ганебных Е.В.,14-122
сессия_МНб-4602-04-00.pdf,23.01.26,пятница,15:45-17:15,Общая группа,Управление бизнес-процессами (в сфере маркетинга) Экзамен,Не указан,Ганебных Е.В.,14-122
