Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25755_2_11052026_24052026.pdf,12.05.26,вторник,08:20-09:50,Общая группа,к и н6 ь2 л 5. е д е 1. 0 н1 о п Инженерная химия,Лекция,Чернова О.В.,1-534
25755_2_11052026_24052026.pdf,12.05.26,вторник,10:00-11:30,Общая группа,Физика,Лекция,Гребенщиков М.Л.,2-409
25755_2_11052026_24052026.pdf,12.05.26,вторник,11:45-13:15,Общая группа,Математика,Лекция,Зеленина Н.А.,2-409
25755_2_11052026_24052026.pdf,12.05.26,вторник,10:00-11:30,Общая группа,Физика,Практическое занятие,Позолотин А.П.,6-204
25755_2_11052026_24052026.pdf,12.05.26,вторник,14:00-15:30,Общая группа,Инженерная графика,Лекция,Буравлева Е.Г.,1-242
25755_2_11052026_24052026.pdf,13.05.26,среда,10:00-11:30,Общая группа,Иностранный язык,Практическое занятие,Деньгина М.Р.,1-222
25755_2_11052026_24052026.pdf,13.05.26,среда,11:45-13:15,Общая группа,Иностранный язык,Практическое занятие,Деньгина М.Р.,1-222
25755_2_11052026_24052026.pdf,13.05.26,среда,14:00-15:30,Общая группа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
25755_2_11052026_24052026.pdf,13.05.26,среда,15:45-17:15,Общая группа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
25755_2_11052026_24052026.pdf,14.05.26,четверг,08:20-09:50,Общая группа,"Учебная практика №1, ознакомительная практика",Не указан,Не указан,1-027
25755_2_11052026_24052026.pdf,14.05.26,четверг,10:00-11:30,Общая группа,"Учебная практика №1, ознакомительная практика",Не указан,Не указан,1-027
25755_2_11052026_24052026.pdf,14.05.26,четверг,11:45-13:15,Общая группа,"Учебная практика №1, ознакомительная практика",Не указан,Не указан,1-027
25755_2_11052026_24052026.pdf,14.05.26,четверг,14:00-15:30,Общая группа,"Учебная практика №1, ознакомительная практика",Не указан,Не указан,1-027
25755_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,Общая группа,"Учебная практика №1, ознакомительная практика",Не указан,Не указан,1-027
