Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25450_2_11052026_24052026.pdf,12.05.26,вторник,17:20-18:50,Общая группа,Методы комплексных исследований и оценки положения разных групп населения в обществе,Лекция,Бородатая М.Н.,14-233
25450_2_11052026_24052026.pdf,12.05.26,вторник,18:55-20:25,Общая группа,Методы комплексных исследований и оценки положения разных групп населения в обществе,Практическое занятие,Бородатая М.Н.,14-233
25450_2_11052026_24052026.pdf,14.05.26,четверг,17:20-18:50,Общая группа,Технология социальной работы с семьей,Лекция,Бородатая М.Н.,14-233
25450_2_11052026_24052026.pdf,14.05.26,четверг,18:55-20:25,Общая группа,Технология социальной работы с семьей,Практическое занятие,Бородатая М.Н.,14-233
25450_2_11052026_24052026.pdf,15.05.26,пятница,17:20-18:50,Общая группа,Актуальные проблемы социального развития современной России,Лекция,Немчанинова Е.Н.,14-210
25450_2_11052026_24052026.pdf,15.05.26,пятница,18:55-20:25,Общая группа,Актуальные проблемы социального развития современной России,Практическое занятие,Немчанинова Е.Н.,14-210
25450_2_11052026_24052026.pdf,16.05.26,суббота,10:00-11:30,Общая группа,Актуальные проблемы социального развития современной России,Лекция,Немчанинова Е.Н.,14-211
25450_2_11052026_24052026.pdf,16.05.26,суббота,11:45-13:15,Общая группа,Актуальные проблемы социального развития современной России,Лекция,Немчанинова Е.Н.,14-211
25450_2_11052026_24052026.pdf,16.05.26,суббота,14:00-15:30,Общая группа,Организация социального взаимодействия в трудовом профессиональном коллективе,Практическое занятие,Волченкова Е.В.,14-211
25450_2_11052026_24052026.pdf,16.05.26,суббота,15:45-17:15,Общая группа,Организация социального взаимодействия в трудовом профессиональном коллективе,Практическое занятие,Волченкова Е.В.,14-211
25450_2_11052026_24052026.pdf,19.05.26,вторник,17:20-18:50,Общая группа,Социальная работа в учреждениях исполнения наказания,Лекция,Лучинина М.И.,14-219
25450_2_11052026_24052026.pdf,19.05.26,вторник,18:55-20:25,Общая группа,Социальная работа в учреждениях исполнения наказания,Практическое занятие,Лучинина М.И.,14-219
25450_2_11052026_24052026.pdf,21.05.26,четверг,17:20-18:50,Общая группа,Методы обработки социологических данных,Лекция,Бородатая М.Н.,14-233
25450_2_11052026_24052026.pdf,21.05.26,четверг,18:55-20:25,Общая группа,Методы обработки социологических данных,Практическое занятие,Бородатая М.Н.,14-233
