Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24738_2_11052026_24052026.pdf,12.05.26,вторник,10:00-11:30,Общая группа,Туристское страноведение,Лекция,Веприкова А.А.,14-114
24738_2_11052026_24052026.pdf,12.05.26,вторник,11:45-13:15,Общая группа,Туристское страноведение,Практическое занятие,Синцова А.К.,14-335
24738_2_11052026_24052026.pdf,12.05.26,вторник,14:00-15:30,Общая группа,Организация экскурсионной деятельности,Лекция,Колесова Ю.А.,14-113
24738_2_11052026_24052026.pdf,12.05.26,вторник,15:45-17:15,Общая группа,Статистика,Лекция,Воронцова Н.Д.,14-338
24738_2_11052026_24052026.pdf,12.05.26,вторник,17:20-18:50,Общая группа,Экономика туризма,Лекция,Лысова Е.А.,14-121
24738_2_11052026_24052026.pdf,12.05.26,вторник,18:55-20:25,Общая группа,Экономика туризма,Практическое занятие,Лысова Е.А.,14-131
24738_2_11052026_24052026.pdf,13.05.26,среда,10:00-11:30,Общая группа,Туристское страноведение,Практическое занятие,Синцова А.К.,14-131
24738_2_11052026_24052026.pdf,13.05.26,среда,11:45-13:15,Общая группа,Туристское страноведение,Практическое занятие,Синцова А.К.,14-131
24738_2_11052026_24052026.pdf,13.05.26,среда,14:00-15:30,Общая группа,Туристское страноведение,Практическое занятие,Синцова А.К.,14-131
24738_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлюпина Е.Г.,14-147
24738_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
24738_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
24738_2_11052026_24052026.pdf,14.05.26,четверг,17:20-18:50,Общая группа,Сервисная деятельность,Практическое занятие,Деветьярова И.П.,14-143
24738_2_11052026_24052026.pdf,14.05.26,четверг,18:55-20:25,Общая группа,Сервисная деятельность,Практическое занятие,Деветьярова И.П.,14-143
24738_2_11052026_24052026.pdf,16.05.26,суббота,10:00-11:30,Общая группа,Организация экскурсионной деятельности,Лекция,Колесова Ю.А.,14-121
24738_2_11052026_24052026.pdf,16.05.26,суббота,11:45-13:15,Общая группа,Организация экскурсионной деятельности,Лекция,Колесова Ю.А.,14-121
24738_2_11052026_24052026.pdf,16.05.26,суббота,14:00-15:30,Общая группа,Организация экскурсионной деятельности,Практическое занятие,Дождевых С.М.,14-121
24738_2_11052026_24052026.pdf,16.05.26,суббота,15:45-17:15,Общая группа,Организация экскурсионной деятельности,Практическое занятие,Дождевых С.М.,14-121
24738_2_11052026_24052026.pdf,18.05.26,понедельник,11:45-13:15,Общая группа,Организация экскурсионной деятельности,Практическое занятие,Дождевых С.М.,14-113
24738_2_11052026_24052026.pdf,18.05.26,понедельник,14:00-15:30,Общая группа,Организация экскурсионной деятельности,Практическое занятие,Дождевых С.М.,14-113
24738_2_11052026_24052026.pdf,19.05.26,вторник,08:20-09:50,Общая группа,Статистика,Лабораторная работа,Орлов К.А.,16-201
24738_2_11052026_24052026.pdf,19.05.26,вторник,10:00-11:30,Общая группа,Инновационный менеджмент,Практическое занятие,Горева Е.А.,14-316
24738_2_11052026_24052026.pdf,19.05.26,вторник,11:45-13:15,Общая группа,Инновационный менеджмент,Практическое занятие,Горева Е.А.,14-316
24738_2_11052026_24052026.pdf,20.05.26,среда,10:00-11:30,Общая группа,Сервисная деятельность,Лекция,Деветьярова И.П.,14-143
24738_2_11052026_24052026.pdf,20.05.26,среда,11:45-13:15,Общая группа,Сервисная деятельность,Практическое занятие,Деветьярова И.П.,14-143
24738_2_11052026_24052026.pdf,20.05.26,среда,14:00-15:30,Общая группа,Экономика туризма,Лекция,Лысова Е.А.,14-140
24738_2_11052026_24052026.pdf,20.05.26,среда,15:45-17:15,Общая группа,Экономика туризма,Практическое занятие,Лысова Е.А.,14-140
24738_2_11052026_24052026.pdf,21.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлюпина Е.Г.,14-147
24738_2_11052026_24052026.pdf,21.05.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
24738_2_11052026_24052026.pdf,21.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
24738_2_11052026_24052026.pdf,22.05.26,пятница,10:00-11:30,Общая группа,Туристское страноведение,Практическое занятие,Синцова А.К.,14-130
24738_2_11052026_24052026.pdf,22.05.26,пятница,11:45-13:15,Общая группа,Туристское страноведение,Практическое занятие,Синцова А.К.,14-130
