Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_БТм-2101-02-00.pdf,19.01.26,понедельник,17:20-18:50,Общая группа,Методы выделения и разделения биологических макромолекул Зачет,Не указан,Лундовских И.А.,1-118
сессия_БТм-2101-02-00.pdf,19.01.26,понедельник,18:55-20:25,Общая группа,Методы выделения и разделения биологических макромолекул Зачет,Не указан,Лундовских И.А.,1-118
сессия_БТм-2101-02-00.pdf,20.01.26,вторник,17:20-18:50,Общая группа,Биоинформатика Зачет,Не указан,Кудрявцев П.А.,1-116
сессия_БТм-2101-02-00.pdf,20.01.26,вторник,18:55-20:25,Общая группа,Биоинформатика Зачет,Не указан,Кудрявцев П.А.,1-116
сессия_БТм-2101-02-00.pdf,21.01.26,среда,17:20-18:50,Общая группа,Экономическое обоснование проектных решений Зачет,Не указан,Набоких А.А.,1-222
сессия_БТм-2101-02-00.pdf,21.01.26,среда,18:55-20:25,Общая группа,Экономическое обоснование проектных решений Зачет,Не указан,Набоких А.А.,1-222
сессия_БТм-2101-02-00.pdf,23.01.26,пятница,17:20-18:50,Общая группа,Генетическая инженерия Консультация,Не указан,Лундовских И.А.,1-118
сессия_БТм-2101-02-00.pdf,24.01.26,суббота,10:00-11:30,Общая группа,Генетическая инженерия Экзамен,Не указан,Лундовских И.А.,1-118
сессия_БТм-2101-02-00.pdf,24.01.26,суббота,11:45-13:15,Общая группа,Генетическая инженерия Экзамен,Не указан,Лундовских И.А.,1-118
сессия_БТм-2101-02-00.pdf,13.02.21,суббота,17:20-18:50,Общая группа,Надлежащие практики Консультация,Не указан,Старкова Е.В.,1-222
сессия_БТм-2101-02-00.pdf,27.01.26,вторник,17:20-18:50,Общая группа,Надлежащие практики Экзамен,Не указан,Старкова Е.В.,1-222
сессия_БТм-2101-02-00.pdf,27.01.26,вторник,18:55-20:25,Общая группа,Надлежащие практики Экзамен,Не указан,Старкова Е.В.,1-222
сессия_БТм-2101-02-00.pdf,30.01.26,пятница,17:20-18:50,Общая группа,Иммунохимия Консультация,Не указан,Старкова Е.В.,1-222
сессия_БТм-2101-02-00.pdf,31.01.26,суббота,10:00-11:30,Общая группа,Иммунохимия Экзамен,Не указан,Старкова Е.В.,1-222
сессия_БТм-2101-02-00.pdf,31.01.26,суббота,11:45-13:15,Общая группа,Иммунохимия Экзамен,Не указан,Старкова Е.В.,1-222
сессия_БТм-2101-02-00.pdf,02.02.26,понедельник,17:20-18:50,Общая группа,Технологии производства иммунобиологических препаратов Консультация,Не указан,Дудина Л.Г.,1-222
сессия_БТм-2101-02-00.pdf,03.02.26,вторник,17:20-18:50,Общая группа,Технологии производства иммунобиологических препаратов Экзамен,Не указан,Дудина Л.Г.,1-222
сессия_БТм-2101-02-00.pdf,03.02.26,вторник,18:55-20:25,Общая группа,Технологии производства иммунобиологических препаратов Экзамен,Не указан,Дудина Л.Г.,1-222
