Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25329_2_13042026_26042026.pdf,14.04.26,понедельник,17:20-18:50,Общая группа,Проектирование и конструирование шин,Лекция,Фомин С.В.,1-521
25329_2_13042026_26042026.pdf,14.04.26,понедельник,18:55-20:25,Общая группа,Проектирование и конструирование шин,Лекция,Фомин С.В.,1-521
25329_2_13042026_26042026.pdf,14.04.26,вторник,17:20-18:50,Общая группа,Физико-химические основы переработки полимеров,Лекция,Широкова Е.С.,1-032д
25329_2_13042026_26042026.pdf,14.04.26,вторник,18:55-20:25,Общая группа,Физико-химические основы переработки полимеров,Практическое занятие,Широкова Е.С.,1-032д
25329_2_13042026_26042026.pdf,15.04.26,среда,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Рублёва О.С.,1-529
25329_2_13042026_26042026.pdf,15.04.26,среда,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Рублёва О.С.,1-529
25329_2_13042026_26042026.pdf,16.04.26,четверг,17:20-18:50,Общая группа,Оборудование и технология шинного производства,Лекция,Шилов И.Б.,1-032д
25329_2_13042026_26042026.pdf,16.04.26,четверг,18:55-20:25,Общая группа,Оборудование и технология шинного производства,Практическое занятие,Шилов И.Б.,1-032д
25329_2_13042026_26042026.pdf,18.04.26,суббота,08:20-09:50,Общая группа,Оборудование и технология шинного производства,Лабораторная работа,Шилов И.Б.,1-032д
25329_2_13042026_26042026.pdf,18.04.26,суббота,10:00-11:30,Общая группа,Оборудование и технология шинного производства,Лабораторная работа,Шилов И.Б.,1-032д
25329_2_13042026_26042026.pdf,18.04.26,суббота,11:45-13:15,Общая группа,Оборудование и технология шинного производства,Лабораторная работа,Шилов И.Б.,1-032д
25329_2_13042026_26042026.pdf,21.04.26,вторник,17:20-18:50,Общая группа,Проектирование и конструирование шин,Практическое занятие,Фомин С.В.,1-521
25329_2_13042026_26042026.pdf,24.04.26,пятница,17:20-18:50,Общая группа,Проектирование и конструирование шин,Лабораторная работа,Фомин С.В.,1-116
25329_2_13042026_26042026.pdf,24.04.26,пятница,18:55-20:25,Общая группа,Проектирование и конструирование шин,Лабораторная работа,Фомин С.В.,1-116
25329_2_13042026_26042026.pdf,25.04.26,суббота,08:20-09:50,Общая группа,Физико-химические основы переработки полимеров,Лабораторная работа,Широкова Е.С.,1-528
25329_2_13042026_26042026.pdf,25.04.26,суббота,10:00-11:30,Общая группа,Физико-химические основы переработки полимеров,Лабораторная работа,Широкова Е.С.,1-528
25329_2_13042026_26042026.pdf,25.04.26,суббота,11:45-13:15,Общая группа,Физико-химические основы переработки полимеров,Лабораторная работа,Широкова Е.С.,1-528
