Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25664_2_11052026_24052026.pdf,14.05.26,четверг,17:20-18:50,Общая группа,Проектное управление,Лекция,Ганебных Е.В.,16-121
25664_2_11052026_24052026.pdf,14.05.26,четверг,18:55-20:25,Общая группа,Проектное управление,Практическое занятие,Ганебных Е.В.,16-201
25664_2_11052026_24052026.pdf,16.05.26,суббота,10:00-11:30,Общая группа,Современные технологии эффективного менеджмента,Лекция,Ганебных Е.В.,14-114
25664_2_11052026_24052026.pdf,16.05.26,суббота,11:45-13:15,Общая группа,Современные технологии эффективного менеджмента,Практическое занятие,Ганебных Е.В.,14-114
25664_2_11052026_24052026.pdf,16.05.26,суббота,14:00-15:30,Общая группа,Современные технологии эффективного менеджмента,Практическое занятие,Ганебных Е.В.,14-114
25664_2_11052026_24052026.pdf,18.05.26,понедельник,17:20-18:50,Общая группа,Адаптационные стратегии развития региона,Практическое занятие,Соболева О.Н.,14-122
25664_2_11052026_24052026.pdf,18.05.26,понедельник,18:55-20:25,Общая группа,Адаптационные стратегии развития региона,Практическое занятие,Соболева О.Н.,14-122
25664_2_11052026_24052026.pdf,19.05.26,вторник,17:20-18:50,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина И.С.,1-222
25664_2_11052026_24052026.pdf,19.05.26,вторник,17:20-18:50,02 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Макаров А.Н.,1-227а
25664_2_11052026_24052026.pdf,19.05.26,вторник,18:55-20:25,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина И.С.,1-222
25664_2_11052026_24052026.pdf,21.05.26,четверг,17:20-18:50,Общая группа,Экономические аспекты регионального развития,Практическое занятие,Санович М.А.,16-201
