Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26574_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,Общая группа,Теория вероятностей и математическая статистика,Лекция,Трефилова Е.С.,16-403
26574_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,Общая группа,Теория вероятностей и математическая статистика,Практическое занятие,Трефилова Е.С.,16-319
26574_1_14092026_27092026.pdf,15.09.26,вторник,14:00-15:30,Общая группа,Геометрия,Лекция,Тимшина Л.В.,16-300
26574_1_14092026_27092026.pdf,15.09.26,вторник,15:45-17:15,Общая группа,Геометрия,Практическое занятие,Тимшина Л.В.,16-300
26574_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Полубоярцев С.А.,13-001
26574_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Крестьянинова О.В.,14-147
26574_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Киселева Н.В.,14-106
26574_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Тарасова А.А.,19-206
26574_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Загребина Л.А.,14-115
26574_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,Операционные системы,Лекция,Пескишева Т.А.,14-221
26574_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,Философия,Практическое занятие,Коротышева Н.Н.,16-403
26574_1_14092026_27092026.pdf,16.09.26,среда,14:00-15:30,Общая группа,Алгебра,Лекция,Петров А.А.,16-405
26574_1_14092026_27092026.pdf,16.09.26,среда,15:45-17:15,Общая группа,Алгебра,Практическое занятие,Петров А.А.,16-405
26574_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,01 подгруппа,Операционные системы,Лабораторная работа,Пескишева Т.А.,14-133
26574_1_14092026_27092026.pdf,17.09.26,четверг,14:00-15:30,01 подгруппа,Операционные системы,Лабораторная работа,Пескишева Т.А.,14-133
26574_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,Теория функции действительной переменной,Лекция,Калинин С.И.,2-311
26574_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,Теория функции действительной переменной,Практическое занятие,Калинин С.И.,2-311
26574_1_14092026_27092026.pdf,21.09.26,понедельник,08:20-09:50,02 подгруппа,Операционные системы,Лабораторная работа,Пескишева Т.А.,14-131
