Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26842_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,01 подгруппа,Теория автоматического управления,Лабораторная работа,Сластихин Н.С.,7-008
26842_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,01 подгруппа,Электронные устройства мехатронных и робототехнических систем,Лабораторная работа,Лалетин В.И.,7-006
26842_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,02 подгруппа,Теория автоматического управления,Лабораторная работа,Сластихин Н.С.,7-008
26842_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,02 подгруппа,Электронные устройства мехатронных и робототехнических систем,Лабораторная работа,Лалетин В.И.,7-006
26842_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,01 подгруппа,Теория автоматического управления,Лабораторная работа,Сластихин Н.С.,7-008
26842_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,01 подгруппа,Электронные устройства мехатронных и робототехнических систем,Лабораторная работа,Лалетин В.И.,7-006
26842_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,02 подгруппа,Теория автоматического управления,Лабораторная работа,Сластихин Н.С.,7-008
26842_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,02 подгруппа,Электронные устройства мехатронных и робототехнических систем,Лабораторная работа,Лалетин В.И.,7-006
26842_1_14092026_27092026.pdf,14.09.26,понедельник,14:00-15:30,01 подгруппа,Электрические и гидравлические приводы мехатронных и робототехнических устройств,Лабораторная работа,Юдин С.А.,7-003
26842_1_14092026_27092026.pdf,14.09.26,понедельник,14:00-15:30,02 подгруппа,Электрические и гидравлические приводы мехатронных и робототехнических устройств,Лабораторная работа,Юдин С.А.,7-003
26842_1_14092026_27092026.pdf,14.09.26,понедельник,15:45-17:15,01 подгруппа,Электрические и гидравлические приводы мехатронных и робототехнических устройств,Лабораторная работа,Юдин С.А.,7-003
26842_1_14092026_27092026.pdf,14.09.26,понедельник,15:45-17:15,02 подгруппа,Электрические и гидравлические приводы мехатронных и робототехнических устройств,Лабораторная работа,Юдин С.А.,7-003
26842_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Хвостенко С.Ю.,9-301
26842_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Салопин О.М.,9-115
26842_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 286),Практическое занятие,Хлусьянов О.В.,9-116
26842_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Пластинина В.Б.,9-208
26842_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Практическое занятие,Пластинина В.Б.,9-102
26842_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Салопин О.М.,9-301
