Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26147_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Авдеева М.С.,13-001
26147_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Крестьянинова О.В.,14-147
26147_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Мешенина Н.В.,14-108
26147_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Рябова Ю.С.,14-108
26147_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,Общая группа,Социальная активность личности,Практическое занятие,Ананин П.В.,14-210
26147_1_14092026_27092026.pdf,14.09.26,понедельник,14:00-15:30,Общая группа,Социальная активность личности,Практическое занятие,Ананин П.В.,14-210
26147_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,Общая группа,Философия,Лекция,Горюнова Т.А.,14-209
26147_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Политология,Лекция,Зорин А.В.,14-209
26147_1_14092026_27092026.pdf,16.09.26,среда,08:20-09:50,Общая группа,Цифровые технологии в профессиональной деятельности,Лекция,Ананин П.В.,14-131
26147_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,Цифровые технологии в профессиональной деятельности,Практическое занятие,Ананин П.В.,14-131
26147_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,Философия,Практическое занятие,Горюнова Т.А.,14-208
26147_1_14092026_27092026.pdf,17.09.26,четверг,08:20-09:50,Общая группа,Карьерные стратегии молодежи,Практическое занятие,Воронина О.А.,14-219
26147_1_14092026_27092026.pdf,17.09.26,четверг,10:00-11:30,Общая группа,Карьерные стратегии молодежи,Практическое занятие,Воронина О.А.,14-219
26147_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,Общая группа,Проектная деятельность в молодежной политике,Лекция,Бородатая М.Н.,14-234
26147_1_14092026_27092026.pdf,17.09.26,четверг,14:00-15:30,Общая группа,Проектная деятельность в молодежной политике,Практическое занятие,Бородатая М.Н.,14-234
26147_1_14092026_27092026.pdf,18.09.26,пятница,08:20-09:50,Общая группа,Политология,Практическое занятие,Зорин А.В.,14-210
26147_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,Экономика,Лекция,Давыдова Ю.В.,14-214
26147_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,Методология научного исследования,Лекция,Бородатая М.Н.,14-221
26147_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,Методология научного исследования,Практическое занятие,Бородатая М.Н.,14-221
26147_1_14092026_27092026.pdf,21.09.26,понедельник,08:20-09:50,Общая группа,История России,Практическое занятие,Рычкова О.В.,14-221
26147_1_14092026_27092026.pdf,21.09.26,понедельник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Авдеева М.С.,13-001
26147_1_14092026_27092026.pdf,21.09.26,понедельник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Крестьянинова О.В.,14-147
26147_1_14092026_27092026.pdf,21.09.26,понедельник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Мешенина Н.В.,14-108
26147_1_14092026_27092026.pdf,21.09.26,понедельник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Рябова Ю.С.,14-108
26147_1_14092026_27092026.pdf,21.09.26,понедельник,11:45-13:15,Общая группа,История России,Лекция,Рычкова О.В.,14-209
26147_1_14092026_27092026.pdf,21.09.26,понедельник,14:00-15:30,Общая группа,История России,Лекция,Рычкова О.В.,14-209
26147_1_14092026_27092026.pdf,22.09.26,вторник,11:45-13:15,Общая группа,Социальная активность личности,Лекция,Ананин П.В.,14-210
26147_1_14092026_27092026.pdf,22.09.26,вторник,14:00-15:30,Общая группа,Методология научного исследования,Лекция,Бородатая М.Н.,14-221
26147_1_14092026_27092026.pdf,22.09.26,вторник,15:45-17:15,Общая группа,Методология научного исследования,Практическое занятие,Бородатая М.Н.,14-221
26147_1_14092026_27092026.pdf,23.09.26,среда,08:20-09:50,Общая группа,Карьерные стратегии молодёжи,Лекция,Воронина О.А.,14-214
26147_1_14092026_27092026.pdf,23.09.26,среда,10:00-11:30,Общая группа,Философия,Практическое занятие,Горюнова Т.А.,14-234
26147_1_14092026_27092026.pdf,24.09.26,четверг,08:20-09:50,Общая группа,Проектная деятельность в молодежной политике,Лекция,Бородатая М.Н.,14-331
26147_1_14092026_27092026.pdf,24.09.26,четверг,10:00-11:30,Общая группа,Проектная деятельность в молодежной политике,Практическое занятие,Бородатая М.Н.,14-331
26147_1_14092026_27092026.pdf,24.09.26,четверг,11:45-13:15,Общая группа,Политология,Практическое занятие,Зорин А.В.,14-202
26147_1_14092026_27092026.pdf,25.09.26,пятница,10:00-11:30,Общая группа,Экономика,Практическое занятие,Давыдова Ю.В.,16-411
26147_1_14092026_27092026.pdf,25.09.26,пятница,11:45-13:15,Общая группа,Экономика,Практическое занятие,Давыдова Ю.В.,16-411
