Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27132_1_14092026_27092026.pdf,14.09.26,понедельник,08:20-09:50,Общая группа,Основы российского законодательства,Практическое занятие,Сергеев А.В.,16-121
27132_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,Общая группа,Основы российского законодательства,Практическое занятие,Сергеев А.В.,16-121
27132_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Национальная безопасность,Лекция,Токарева П.В.,16-313
27132_1_14092026_27092026.pdf,15.09.26,вторник,14:00-15:30,Общая группа,Введение в специальность,Лекция,Каранина Е.В.,16-313
27132_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,Математика,Лекция,Ряттель А.В.,16-411
27132_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,Математика,Практическое занятие,Ряттель А.В.,16-411
27132_1_14092026_27092026.pdf,16.09.26,среда,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Шевченко А.И.,16-112
27132_1_14092026_27092026.pdf,16.09.26,среда,15:45-17:15,Общая группа,Иностранный язык,Практическое занятие,Шевченко А.И.,16-112
27132_1_14092026_27092026.pdf,17.09.26,четверг,08:20-09:50,Общая группа,Физическая культура и спорт,Практическое занятие,Беличева Т.В.,14-108
27132_1_14092026_27092026.pdf,17.09.26,четверг,10:00-11:30,Общая группа,Русский язык и культура речи,Лекция,Федянина О.Н.,14-338
27132_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,Общая группа,Русский язык и культура речи,Практическое занятие,Федянина О.Н.,14-314
27132_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,Экономическая теория,Лекция,Копытина Ю.А.,14-334
27132_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,Основы российской государственности,Лекция,Куклин А.В.,14-338
27132_1_14092026_27092026.pdf,21.09.26,понедельник,14:00-15:30,Общая группа,Основы российской государственности,Практическое занятие,Куклин А.В.,16-313
27132_1_14092026_27092026.pdf,21.09.26,понедельник,15:45-17:15,Общая группа,Основы российской государственности,Практическое занятие,Куклин А.В.,16-313
27132_1_14092026_27092026.pdf,22.09.26,вторник,10:00-11:30,Общая группа,Экономическая теория,Практическое занятие,Копытина Ю.А.,16-411
27132_1_14092026_27092026.pdf,22.09.26,вторник,11:45-13:15,Общая группа,Экономическая теория,Практическое занятие,Копытина Ю.А.,16-411
27132_1_14092026_27092026.pdf,22.09.26,вторник,14:00-15:30,Общая группа,Русский язык и культура речи,Практическое занятие,Федянина О.Н.,14-309
27132_1_14092026_27092026.pdf,23.09.26,среда,08:20-09:50,Общая группа,Иностранный язык,Практическое занятие,Шевченко А.И.,16-112
27132_1_14092026_27092026.pdf,23.09.26,среда,10:00-11:30,Общая группа,Математика,Лекция,Ряттель А.В.,16-411
27132_1_14092026_27092026.pdf,23.09.26,среда,11:45-13:15,Общая группа,Математика,Практическое занятие,Ряттель А.В.,16-411
27132_1_14092026_27092026.pdf,23.09.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Токарева П.В.,16-220
27132_1_14092026_27092026.pdf,24.09.26,четверг,08:20-09:50,Общая группа,Физическая культура и спорт,Практическое занятие,Беличева Т.В.,14-108
27132_1_14092026_27092026.pdf,24.09.26,четверг,10:00-11:30,Общая группа,Экономическая теория,Лекция,Копытина Ю.А.,14-338
27132_1_14092026_27092026.pdf,24.09.26,четверг,11:45-13:15,Общая группа,Национальная безопасность,Лекция,Токарева П.В.,16-121
27132_1_14092026_27092026.pdf,24.09.26,четверг,14:00-15:30,Общая группа,Национальная безопасность,Практическое занятие,Токарева П.В.,16-121
27132_1_14092026_27092026.pdf,25.09.26,пятница,10:00-11:30,Общая группа,Введение в специальность,Практическое занятие,Каранина Е.В.,16-322
27132_1_14092026_27092026.pdf,25.09.26,пятница,11:45-13:15,Общая группа,Введение в специальность,Практическое занятие,Каранина Е.В.,16-322
