Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26325_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,Общая группа,Экономическая безопасность и анализ рисков,Лекция,Караулов В.М.,16-224
26325_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,Общая группа,Экономическая безопасность и анализ рисков,Практическое занятие,Караулов В.М.,16-209
26325_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,Общая группа,Бухгалтерский финансовый учет,Лекция,Гамулинская Н.В.,2-407
26325_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Бухгалтерский финансовый учет,Практическое занятие,Гамулинская Н.В.,2-407
26325_1_14092026_27092026.pdf,16.09.26,среда,08:20-09:50,Общая группа,"Учет, калькулирование и управление затратами организаций в отраслях производственной сферы",Лекция,Гамулинская Н.В.,2-408
26325_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,"Учет, калькулирование и управление затратами организаций в отраслях производственной сферы",Практическое занятие,Гамулинская Н.В.,2-408
26325_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,"Учет, калькулирование и управление затратами организаций в отраслях производственной сферы",Практическое занятие,Гамулинская Н.В.,2-408
26325_1_14092026_27092026.pdf,17.09.26,четверг,08:20-09:50,Общая группа,Бухгалтерская (финансовая) отчетность коммерческих организаций,Лекция,Гамулинская Н.В.,16-310
26325_1_14092026_27092026.pdf,17.09.26,четверг,10:00-11:30,Общая группа,Бухгалтерская (финансовая) отчетность коммерческих организаций,Практическое занятие,Гамулинская Н.В.,16-310
26325_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-106
26325_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Полубоярцев С.А.,14-106
