Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ФКб-2702-51-00_1.pdf,15.06.26,понедельник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет,Не указан,Овсянникова Е.Ю.,19-217
сессия_ФКб-2702-51-00_1.pdf,15.06.26,понедельник,11:45-13:15,Общая группа,Мониторинг в физической культуре и спорте Зачет,Не указан,Беспятых О.Ю.,19-260
сессия_ФКб-2702-51-00_1.pdf,16.06.26,вторник,10:00-11:30,Общая группа,Технологии спортивной тренировки в избранном виде спорта Зачет,Не указан,Вавилов А.Л.,19-257
сессия_ФКб-2702-51-00_1.pdf,17.06.26,среда,08:20-09:50,Общая группа,Основы тренерского мастерства Зачет,Не указан,Попереков В.С.,19-260
сессия_ФКб-2702-51-00_1.pdf,17.06.26,среда,10:00-11:30,Общая группа,Педагогика физической культуры и спорта Зачет,Не указан,Попереков В.С.,19-260
сессия_ФКб-2702-51-00_1.pdf,19.06.26,пятница,11:45-13:15,Общая группа,Физиология общая и физических упражнений Консультация 19,Не указан,Кадочникова Н.И.,19-217
сессия_ФКб-2702-51-00_1.pdf,19.06.26,пятница,08:20-09:50,Общая группа,к и н6 ь2 л 6. е д е 2. 0 н2 о п Физиология общая и физических упражнений Экзамен,Не указан,Кадочникова Н.И.,19-217
сессия_ФКб-2702-51-00_1.pdf,19.06.26,пятница,10:00-11:30,Общая группа,Физиология общая и физических упражнений Экзамен,Не указан,Кадочникова Н.И.,19-217
сессия_ФКб-2702-51-00_1.pdf,24.06.26,среда,08:20-09:50,Общая группа,Теория и методика физической культуры и спорта Консультация,Не указан,Попереков В.С.,19-257
сессия_ФКб-2702-51-00_1.pdf,26.06.26,пятница,08:20-09:50,Общая группа,Теория и методика физической культуры и спорта Экзамен,Не указан,Попереков В.С.,19-257
сессия_ФКб-2702-51-00_1.pdf,26.06.26,пятница,10:00-11:30,Общая группа,Теория и методика физической культуры и спорта Экзамен,Не указан,Попереков В.С.,19-257
сессия_ФКб-2702-51-00_1.pdf,26.06.26,пятница,10:00-11:30,Общая группа,Туризм Консультация,Не указан,Вавилов А.Л.,19-259
сессия_ФКб-2702-51-00_1.pdf,30.06.26,вторник,10:00-11:30,Общая группа,Туризм Экзамен,Не указан,Вавилов А.Л.,19-259
сессия_ФКб-2702-51-00_1.pdf,02.07.26,четверг,10:00-11:30,Общая группа,Основы экономики и менеджмента в сфере физической культуры и спорта Консультация,Не указан,Клецко А.Н.,19-257
сессия_ФКб-2702-51-00_1.pdf,03.07.26,пятница,10:00-11:30,Общая группа,Основы экономики и менеджмента в сфере физической культуры и спорта Экзамен,Не указан,Клецко А.Н.,19-257
сессия_ФКб-2702-51-00_1.pdf,03.07.26,пятница,11:45-13:15,Общая группа,Основы экономики и менеджмента в сфере физической культуры и спорта Экзамен,Не указан,Клецко А.Н.,19-257
