Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26353_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,Общая группа,Языки программирования,Лабораторная работа,Наумович Т.В.,3-204б
26353_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Языки программирования,Лабораторная работа,Наумович Т.В.,3-204б
26353_1_14092026_27092026.pdf,15.09.26,вторник,14:00-15:30,Общая группа,Математика,Практическое занятие,Марков Р.В.,2-206
26353_1_14092026_27092026.pdf,15.09.26,вторник,08:20-09:50,Общая группа,Основы информационной безопасности,Лекция,Трубин И.С.,2-409
26353_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,Общая группа,Языки программирования,Лекция,Наумович Т.В.,2-409
26353_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Математика,Лекция,Левин М.Н.,1-242
26353_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,Дополнительные главы физики,Практическое занятие,Хлебов А.Г.,2-303
26353_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,Математика,Практическое занятие,Марков Р.В.,2-206
26353_1_14092026_27092026.pdf,17.09.26,четверг,10:00-11:30,Общая группа,Электроника и схемотехника,Лекция,Репкин Д.А.,2-409
26353_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,Общая группа,Электроника и схемотехника,Практическое занятие,Репкин Д.А.,2-409
26353_1_14092026_27092026.pdf,17.09.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039) .,Практическое занятие,Попова Н.Ю.,9-209
26353_1_14092026_27092026.pdf,17.09.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Практическое занятие,Трушкова Е.Л.,9-301
26353_1_14092026_27092026.pdf,18.09.26,пятница,08:20-09:50,Общая группа,Электроника и схемотехника,Лабораторная работа,Репкин Д.А.,3-205
26353_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,Электроника и схемотехника,Лабораторная работа,Репкин Д.А.,3-205
26353_1_14092026_27092026.pdf,19.09.26,суббота,11:45-13:15,Общая группа,Основы информационной безопасности,Лабораторная работа,Голубева В.С.,3-204а
26353_1_14092026_27092026.pdf,19.09.26,суббота,14:00-15:30,Общая группа,Основы информационной безопасности,Лабораторная работа,Голубева В.С.,3-204а
26353_1_14092026_27092026.pdf,21.09.26,понедельник,08:20-09:50,Общая группа,к и н6 ь2 л 9. е д е 1. 0 н2 о п Теория электрических цепей,Практическое занятие,Репкин Д.А.,2-209
26353_1_14092026_27092026.pdf,21.09.26,понедельник,10:00-11:30,Общая группа,Теория электрических цепей,Лекция,Репкин Д.А.,2-209
26353_1_14092026_27092026.pdf,22.09.26,вторник,10:00-11:30,Общая группа,Дополнительные главы физики,Лекция,Хлебов А.Г.,2-409
26353_1_14092026_27092026.pdf,22.09.26,вторник,11:45-13:15,Общая группа,Теория электрических цепей,Лекция,Репкин Д.А.,2-409
26353_1_14092026_27092026.pdf,22.09.26,вторник,14:00-15:30,Общая группа,Дополнительные главы физики,Лабораторная работа,Хлебов А.Г.,14-330
26353_1_14092026_27092026.pdf,22.09.26,вторник,15:45-17:15,Общая группа,Дополнительные главы физики,Лабораторная работа,Хлебов А.Г.,14-330
26353_1_14092026_27092026.pdf,23.09.26,среда,08:20-09:50,Общая группа,Математика,Лекция,Левин М.Н.,1-242
26353_1_14092026_27092026.pdf,23.09.26,среда,10:00-11:30,Общая группа,Информационные технологии и Интернет,Лабораторная работа,Колупаев А.В.,3-204б
26353_1_14092026_27092026.pdf,23.09.26,среда,11:45-13:15,Общая группа,Информационные технологии и Интернет,Лабораторная работа,Колупаев А.В.,3-204б
26353_1_14092026_27092026.pdf,24.09.26,четверг,11:45-13:15,Общая группа,Математика,Практическое занятие,Марков Р.В.,2-206
26353_1_14092026_27092026.pdf,24.09.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Попова Н.Ю.,9-101
26353_1_14092026_27092026.pdf,24.09.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Практическое занятие,Трушкова Е.Л.,9-301
26353_1_14092026_27092026.pdf,25.09.26,пятница,11:45-13:15,Общая группа,Теория электрических цепей,Лекция,Репкин Д.А.,2-409
26353_1_14092026_27092026.pdf,25.09.26,пятница,14:00-15:30,Общая группа,Информационные технологии и Интернет,Лекция,Колупаев А.В.,2-409
