Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26918_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,Общая группа,Криптография и защита информации,Лабораторная работа,Чупраков Д.В.,16-401
26918_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Криптография и защита информации,Лабораторная работа,Чупраков Д.В.,16-401
26918_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,Общая группа,Математическое моделирование реальных процессов,Лекция,Чермных О.В.,16-408
26918_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Математическое моделирование реальных процессов,Практическое занятие,Чермных О.В.,16-401
26918_1_14092026_27092026.pdf,16.09.26,среда,17:20-18:50,Общая группа,Элементарная математика в контексте высшей,Лекция,Калинин С.И.,6-202
26918_1_14092026_27092026.pdf,16.09.26,среда,18:55-20:25,Общая группа,Элементарная математика в контексте высшей,Практическое занятие,Калинин С.И.,6-202
26918_1_14092026_27092026.pdf,17.09.26,четверг,17:20-18:50,Общая группа,Криптография и защита информации,Лекция,Чупраков Д.В.,16-403
26918_1_14092026_27092026.pdf,17.09.26,четверг,18:55-20:25,Общая группа,Криптография и защита информации,Практическое занятие,Чупраков Д.В.,16-401
26918_1_14092026_27092026.pdf,18.09.26,пятница,17:20-18:50,Общая группа,Криптография и защита информации,Практическое занятие,Чупраков Д.В.,16-401
26918_1_14092026_27092026.pdf,18.09.26,пятница,18:55-20:25,Общая группа,Криптография и защита информации,Практическое занятие,Чупраков Д.В.,16-401
26918_1_14092026_27092026.pdf,21.09.26,понедельник,17:20-18:50,Общая группа,Криптография и защита информации,Лекция,Чупраков Д.В.,16-401
26918_1_14092026_27092026.pdf,21.09.26,понедельник,18:55-20:25,Общая группа,Криптография и защита информации,Практическое занятие,Чупраков Д.В.,16-401
26918_1_14092026_27092026.pdf,22.09.26,вторник,17:20-18:50,Общая группа,Элементарная математика в контексте высшей,Практическое занятие,Калинин С.И.,6-202
26918_1_14092026_27092026.pdf,22.09.26,вторник,18:55-20:25,Общая группа,Элементарная математика в контексте высшей,Практическое занятие,Калинин С.И.,6-202
26918_1_14092026_27092026.pdf,24.09.26,четверг,17:20-18:50,Общая группа,Математическое моделирование реальных процессов,Лабораторная работа,Чермных О.В.,16-419
26918_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Математическое моделирование реальных процессов,Лабораторная работа,Чермных О.В.,16-419
