Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26927_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,Общая группа,Инновационное деревообрабатывающее оборудование и инструмент,Лекция,Ведерников Я.Д.,1-534
26927_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Инновационное деревообрабатывающее оборудование и инструмент,Лекция,Ведерников Я.Д.,1-534
26927_1_14092026_27092026.pdf,16.09.26,среда,17:20-18:50,Общая группа,Специальные технологии обработки древесины,Практическое занятие,Тарбеева Н.А.,10-214
26927_1_14092026_27092026.pdf,16.09.26,среда,18:55-20:25,Общая группа,Специальные технологии обработки древесины,Практическое занятие,Тарбеева Н.А.,10-214
26927_1_14092026_27092026.pdf,17.09.26,четверг,17:20-18:50,Общая группа,Инновационное деревообрабатывающее оборудование и инструмент,Практическое занятие,Ведерников Я.Д.,1-531
26927_1_14092026_27092026.pdf,17.09.26,четверг,18:55-20:25,Общая группа,Инновационное деревообрабатывающее оборудование и инструмент,Практическое занятие,Ведерников Я.Д.,1-531
26927_1_14092026_27092026.pdf,18.09.26,пятница,17:20-18:50,Общая группа,Технологии комплексной переработки древесины,Лекция,Тарбеева Н.А.,10-203
26927_1_14092026_27092026.pdf,18.09.26,пятница,18:55-20:25,Общая группа,Технологии комплексной переработки древесины,Лекция,Тарбеева Н.А.,10-203
26927_1_14092026_27092026.pdf,21.09.26,понедельник,17:20-18:50,Общая группа,Технологии комплексной переработки древесины,Лабораторная работа,Тарбеева Н.А.,9-001
26927_1_14092026_27092026.pdf,21.09.26,понедельник,18:55-20:25,Общая группа,Технологии комплексной переработки древесины,Лабораторная работа,Тарбеева Н.А.,9-001
26927_1_14092026_27092026.pdf,22.09.26,вторник,17:20-18:50,Общая группа,Специальные технологии обработки древесины,Лабораторная работа,Тарбеева Н.А.,9-001
26927_1_14092026_27092026.pdf,22.09.26,вторник,18:55-20:25,Общая группа,Специальные технологии обработки древесины,Лабораторная работа,Тарбеева Н.А.,9-001
26927_1_14092026_27092026.pdf,24.09.26,четверг,17:20-18:50,Общая группа,Технологии комплексной переработки древесины,Практическое занятие,Тарбеева Н.А.,10-214
26927_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Технологии комплексной переработки древесины,Практическое занятие,Тарбеева Н.А.,10-214
26927_1_14092026_27092026.pdf,25.09.26,пятница,17:20-18:50,Общая группа,Инновационное деревообрабатывающее оборудование и инструмент,Лабораторная работа,Ведерников Я.Д.,9-001
26927_1_14092026_27092026.pdf,25.09.26,пятница,18:55-20:25,Общая группа,Инновационное деревообрабатывающее оборудование и инструмент,Лабораторная работа,Ведерников Я.Д.,9-001
