Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27097_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,8-507
27097_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,8-507
27097_1_14092026_27092026.pdf,16.09.26,среда,17:20-18:50,Общая группа,Автоматизация управления технологическими процессами в энергетике,Практическое занятие,Репкина Н.Г.,8-413
27097_1_14092026_27092026.pdf,16.09.26,среда,18:55-20:25,Общая группа,Автоматизация управления технологическими процессами в энергетике,Практическое занятие,Репкина Н.Г.,8-413
27097_1_14092026_27092026.pdf,18.09.26,пятница,17:20-18:50,Общая группа,Теплообменное и вспомогательное оборудование тепловых электрических станций,Лекция,Крупин Д.Ф.,8-511
27097_1_14092026_27092026.pdf,18.09.26,пятница,18:55-20:25,Общая группа,Теория и практика инженерного исследования,Лекция,Суворов Д.М.,8-603
27097_1_14092026_27092026.pdf,21.09.26,понедельник,17:20-18:50,Общая группа,Теория решения изобретательских задач в энергетике 8,Лекция,Татаринова Н.В.,8-511
27097_1_14092026_27092026.pdf,21.09.26,понедельник,18:55-20:25,Общая группа,Теория решения изобретательских задач в энергетике,Практическое занятие,Татаринова Н.В.,8-511
27097_1_14092026_27092026.pdf,22.09.26,вторник,17:20-18:50,Общая группа,Нормативная база в энергетике,Практическое занятие,Суворов Д.М.,8-608
27097_1_14092026_27092026.pdf,22.09.26,вторник,18:55-20:25,Общая группа,Нормативная база в энергетике,Практическое занятие,Суворов Д.М.,8-608
27097_1_14092026_27092026.pdf,24.09.26,четверг,17:20-18:50,Общая группа,Нормативная база в энергетике,Практическое занятие,Суворов Д.М.,8-608
27097_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Нормативная база в энергетике,Практическое занятие,Суворов Д.М.,8-608
