Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27122_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,Общая группа,Современный русский язык,Практическое занятие,Глухих А.Н.,2-207
27122_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Современный русский язык,Практическое занятие,Глухих А.Н.,2-207
27122_1_14092026_27092026.pdf,15.09.26,вторник,14:00-15:30,Общая группа,Лингвострановедческая лексикология,Лекция,Наумова Н.Г.,16-220
27122_1_14092026_27092026.pdf,15.09.26,вторник,15:45-17:15,Общая группа,Лингвострановедческая лексикология,Практическое занятие,Наумова Н.Г.,16-220
27122_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,Научные основы преподавания русской литературы,Лекция,Зонова Е.В.,16-323
27122_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,Научные основы преподавания русской литературы,Практическое занятие,Зонова Е.В.,16-323
27122_1_14092026_27092026.pdf,17.09.26,четверг,14:00-15:30,Общая группа,Лингвострановедческая лексикология,Практическое занятие,Наумова Н.Г.,16-212
27122_1_14092026_27092026.pdf,17.09.26,четверг,15:45-17:15,Общая группа,Лингвострановедческая лексикология,Практическое занятие,Наумова Н.Г.,16-212
27122_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,Деловые коммуникации и деловая этика,Лекция,Меркулова И.А.,16-212
27122_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,Деловые коммуникации и деловая этика,Практическое занятие,Меркулова И.А.,16-212
27122_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,Фонетика и фонология современного русского литературного языка,Лекция,Наумова Н.Г.,16-224
27122_1_14092026_27092026.pdf,21.09.26,понедельник,08:20-09:50,Общая группа,к и н6 ь2 л 9. е д е 1. 0 н2 о п Современный русский язык,Практическое занятие,Глухих А.Н.,2-302
27122_1_14092026_27092026.pdf,21.09.26,понедельник,10:00-11:30,Общая группа,Современный русский язык,Практическое занятие,Глухих А.Н.,2-302
27122_1_14092026_27092026.pdf,22.09.26,вторник,10:00-11:30,Общая группа,Деловые коммуникации и деловая этика,Лекция,Меркулова И.А.,13-513
27122_1_14092026_27092026.pdf,22.09.26,вторник,11:45-13:15,Общая группа,Деловые коммуникации и деловая этика,Практическое занятие,Меркулова И.А.,13-513
27122_1_14092026_27092026.pdf,22.09.26,вторник,14:00-15:30,Общая группа,Лингвострановедческая лексикология,Лекция,Наумова Н.Г.,16-313
27122_1_14092026_27092026.pdf,22.09.26,вторник,15:45-17:15,Общая группа,Лингвострановедческая лексикология,Практическое занятие,Наумова Н.Г.,16-313
27122_1_14092026_27092026.pdf,23.09.26,среда,10:00-11:30,Общая группа,Национальная картина мира в русской фразеологии,Практическое занятие,Исупова С.М.,2-205
27122_1_14092026_27092026.pdf,23.09.26,среда,11:45-13:15,Общая группа,Национальная картина мира в русской фразеологии,Практическое занятие,Исупова С.М.,2-205
27122_1_14092026_27092026.pdf,25.09.26,пятница,10:00-11:30,Общая группа,Научные основы преподавания русской литературы,Лекция,Зонова Е.В.,16-323
27122_1_14092026_27092026.pdf,25.09.26,пятница,11:45-13:15,Общая группа,Научные основы преподавания русской литературы,Практическое занятие,Зонова Е.В.,16-323
27122_1_14092026_27092026.pdf,25.09.26,пятница,14:00-15:30,Общая группа,Фонетика и фонология современного русского литературного языка,Практическое занятие,Наумова Н.Г.,16-311
