Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_БИб-4601-01-00_1.pdf,20.04.26,понедельник,10:00-11:30,Общая группа,Стратегическое финансовое планирование и бюджетирование Зачет,Не указан,Холкин А.В.,16-216
сессия_БИб-4601-01-00_1.pdf,20.04.26,понедельник,11:45-13:15,Общая группа,Стратегическое финансовое планирование и бюджетирование Зачет,Не указан,Холкин А.В.,16-216
сессия_БИб-4601-01-00_1.pdf,21.04.26,вторник,17:20-18:50,Общая группа,Архитектурные решения в государственном и муниципальном управлении Зачет,Не указан,Пересторонин И.В.,16-210
сессия_БИб-4601-01-00_1.pdf,21.04.26,вторник,18:55-20:25,Общая группа,Архитектурные решения в государственном и муниципальном управлении Зачет,Не указан,Пересторонин И.В.,16-210
сессия_БИб-4601-01-00_1.pdf,23.04.26,четверг,17:20-18:50,Общая группа,Основы цифровой трансформации Консультация,Не указан,Кашина Е.В.,16-202
сессия_БИб-4601-01-00_1.pdf,23.04.26,четверг,08:20-09:50,Общая группа,к и н6 ь2 л 4. е д е 7. 0 н2 о п Основы цифровой трансформации Экзамен,Не указан,Кашина Е.В.,16-202
сессия_БИб-4601-01-00_1.pdf,23.04.26,четверг,10:00-11:30,Общая группа,Основы цифровой трансформации Экзамен,Не указан,Кашина Е.В.,16-202
сессия_БИб-4601-01-00_1.pdf,28.04.26,вторник,08:20-09:50,Общая группа,Основы управления знаниями Консультация,Не указан,Караулов В.М.,16-209
сессия_БИб-4601-01-00_1.pdf,30.04.26,четверг,08:20-09:50,Общая группа,Основы управления знаниями Экзамен,Не указан,Караулов В.М.,16-210
сессия_БИб-4601-01-00_1.pdf,30.04.26,четверг,10:00-11:30,Общая группа,Основы управления знаниями Экзамен,Не указан,Караулов В.М.,16-210
