Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ХМб-4501-53-00_1.pdf,21.04.26,вторник,10:00-11:30,Общая группа,История и методология химии Зачет,Не указан,Зайцев М.А.,15-423
сессия_ХМб-4501-53-00_1.pdf,21.04.26,вторник,11:45-13:15,Общая группа,История и методология химии Зачет,Не указан,Зайцев М.А.,15-423
сессия_ХМб-4501-53-00_1.pdf,22.04.26,среда,10:00-11:30,Общая группа,Теория и методика обучения химии Консультация,Не указан,Береснева Е.В.,15-423
сессия_ХМб-4501-53-00_1.pdf,24.04.26,пятница,10:00-11:30,Общая группа,Теория и методика обучения химии Экзамен,Не указан,Береснева Е.В.,15-423
сессия_ХМб-4501-53-00_1.pdf,24.04.26,пятница,11:45-13:15,Общая группа,Теория и методика обучения химии Экзамен,Не указан,Береснева Е.В.,15-423
сессия_ХМб-4501-53-00_1.pdf,24.04.26,пятница,08:20-09:50,Общая группа,к и н6 ь2 л 4. е д е 7. 0 н2 о п Медицинская химия Консультация,Не указан,Сазанов А.В.,15-339
сессия_ХМб-4501-53-00_1.pdf,28.04.26,вторник,10:00-11:30,Общая группа,Медицинская химия Экзамен,Не указан,Сазанов А.В.,15-418
сессия_ХМб-4501-53-00_1.pdf,28.04.26,вторник,11:45-13:15,Общая группа,Медицинская химия Экзамен,Не указан,Сазанов А.В.,15-418
сессия_ХМб-4501-53-00_1.pdf,29.04.26,среда,10:00-11:30,Общая группа,Проектная деятельность в области химии Зачет,Не указан,Фокина А.И.,15-421
сессия_ХМб-4501-53-00_1.pdf,29.04.26,среда,11:45-13:15,Общая группа,Проектная деятельность в области химии Зачет,Не указан,Фокина А.И.,15-421
