Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_КТУм-2201-01-00.pdf,09.01.26,пятница,17:20-18:50,Общая группа,Методика преподавания культурологических дисциплин Зачет,Не указан,Попова П.В.,14-222
сессия_КТУм-2201-01-00.pdf,09.01.26,пятница,17:20-18:50,Общая группа,Гуманитарная экспертиза социокультурных проектов Зачет,Не указан,Быкова Е.В.,14-208
сессия_КТУм-2201-01-00.pdf,13.01.26,вторник,17:20-18:50,Общая группа,Основы конфликтологии и медиации Зачет,Не указан,Колобова Ю.И.,14-210
сессия_КТУм-2201-01-00.pdf,14.01.26,среда,17:20-18:50,Общая группа,Проблемы охраны культурного наследия Зачет,Не указан,Дождевых С.М.,14-209
сессия_КТУм-2201-01-00.pdf,16.01.26,пятница,17:20-18:50,Общая группа,Научно-исследовательский семинар Консультация,Не указан,Быкова Е.В.,14-210
сессия_КТУм-2201-01-00.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Научно-исследовательский семинар Экзамен,Не указан,Быкова Е.В.,14-210
сессия_КТУм-2201-01-00.pdf,22.01.26,четверг,17:20-18:50,Общая группа,Менеджмент в культуре Консультация,Не указан,Гмызина Э.В.,14-233
сессия_КТУм-2201-01-00.pdf,23.01.26,пятница,17:20-18:50,Общая группа,Менеджмент в культуре Экзамен,Не указан,Гмызина Э.В.,14-233
сессия_КТУм-2201-01-00.pdf,23.01.26,пятница,17:20-18:50,Общая группа,Семинар по социокультурному проектированию Консультация 14,Не указан,Колобова Ю.И.,14-210
сессия_КТУм-2201-01-00.pdf,27.01.26,вторник,17:20-18:50,Общая группа,Семинар по социокультурному проектированию Экзамен,Не указан,Колобова Ю.И.,14-210
