Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_РСОм-2201-01-00.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Коммуникационный менеджмент Зачет,Не указан,Малышева Н.В.,14-311
сессия_РСОм-2201-01-00.pdf,25.08.20,вторник,18:55-20:25,Общая группа,Управление брендом Зачет,Не указан,Булатова А.Ю.,14-316
сессия_РСОм-2201-01-00.pdf,13.01.26,вторник,17:20-18:50,Общая группа,Образовательные технологии в профессиональной деятельности Зачет,Не указан,Тимшин В.А.,14-301
сессия_РСОм-2201-01-00.pdf,13.01.26,вторник,18:55-20:25,Общая группа,Организация и проведение коммуникационных кампаний Зачет,Не указан,Кузьмина М.В.,14-308
сессия_РСОм-2201-01-00.pdf,13.01.26,вторник,17:20-18:50,Общая группа,Коммуникационные стратегии Защита курсовых проектов,Не указан,Ворожцов А.Л.,14-312
сессия_РСОм-2201-01-00.pdf,13.01.26,вторник,17:20-18:50,Общая группа,Коммуникационные стратегии Защита курсовых проектов,Не указан,Игошина Ю.В.,14-319
сессия_РСОм-2201-01-00.pdf,13.01.26,вторник,17:20-18:50,Общая группа,Коммуникационные стратегии Защита курсовых проектов,Не указан,Федяева А.Ф.,14-311
сессия_РСОм-2201-01-00.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Маркетинговые исследования Консультация,Не указан,Лесных Н.Ю.,14-311
сессия_РСОм-2201-01-00.pdf,21.01.26,среда,17:20-18:50,Общая группа,Маркетинговые исследования Экзамен,Не указан,Лесных Н.Ю.,14-316
сессия_РСОм-2201-01-00.pdf,22.01.26,четверг,17:20-18:50,Общая группа,Коммуникационные стратегии Консультация,Не указан,Булатова А.Ю.,14-308
сессия_РСОм-2201-01-00.pdf,23.01.26,пятница,17:20-18:50,Общая группа,Коммуникационные стратегии Экзамен,Не указан,Булатова А.Ю.,14-308
