Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ТХОб-3802-03-00_1.pdf,11.11.26,среда,14:00-15:30,Общая группа,История искусств Зачет,Не указан,Егорова С.И.,17-267
сессия_ТХОб-3802-03-00_1.pdf,11.11.26,среда,15:45-17:15,Общая группа,История искусств Зачет,Не указан,Егорова С.И.,17-267
сессия_ТХОб-3802-03-00_1.pdf,02.06.26,вторник,10:00-11:30,Общая группа,Системный инжиниринг Зачет,Не указан,Лисовский В.А.,10-214
сессия_ТХОб-3802-03-00_1.pdf,02.06.26,вторник,11:45-13:15,Общая группа,Системный инжиниринг Зачет,Не указан,Лисовский В.А.,10-214
сессия_ТХОб-3802-03-00_1.pdf,03.06.26,среда,10:00-11:30,Общая группа,Технологии виртуальной реальности Зачет,Не указан,Макушев В.Ю.,6-407
сессия_ТХОб-3802-03-00_1.pdf,03.06.26,среда,11:45-13:15,Общая группа,Технологии виртуальной реальности Зачет,Не указан,Макушев В.Ю.,6-407
сессия_ТХОб-3802-03-00_1.pdf,04.06.26,четверг,10:00-11:30,Общая группа,Оборудование и технологии художественной обработки материалов Зачет,Не указан,Земцов М.И.,4-703
сессия_ТХОб-3802-03-00_1.pdf,04.06.26,четверг,11:45-13:15,Общая группа,Оборудование и технологии художественной обработки материалов Зачет,Не указан,Земцов М.И.,4-703
сессия_ТХОб-3802-03-00_1.pdf,04.06.26,четверг,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Трушкова Е.Л.,9-301
сессия_ТХОб-3802-03-00_1.pdf,04.06.26,четверг,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Ромашов А.Ю.,9-115
сессия_ТХОб-3802-03-00_1.pdf,04.06.26,четверг,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Ромашов А.Ю.,9-115
сессия_ТХОб-3802-03-00_1.pdf,04.06.26,четверг,11:45-13:15,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Попова Н.Ю.,9-101
сессия_ТХОб-3802-03-00_1.pdf,25.08.20,вторник,10:00-11:30,Общая группа,Проектирование художественно-промышленных изделий Зачет,Не указан,Егорова С.И.,17-268
сессия_ТХОб-3802-03-00_1.pdf,25.08.20,вторник,11:45-13:15,Общая группа,Проектирование художественно-промышленных изделий Зачет,Не указан,Егорова С.И.,17-268
сессия_ТХОб-3802-03-00_1.pdf,09.06.26,вторник,10:00-11:30,Общая группа,Моделирование и прототипирование художественно-промышленных изделий Зачет,Не указан,Татаринова М.С.,4-705
сессия_ТХОб-3802-03-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Моделирование и прототипирование художественно-промышленных изделий Зачет,Не указан,Татаринова М.С.,4-705
сессия_ТХОб-3802-03-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Анализ рынка и продвижение продукта Консультация,Не указан,Грабар А.А.,2-300
сессия_ТХОб-3802-03-00_1.pdf,16.06.26,вторник,14:00-15:30,Общая группа,Анализ рынка и продвижение продукта Экзамен,Не указан,Грабар А.А.,2-404
сессия_ТХОб-3802-03-00_1.pdf,16.06.26,вторник,15:45-17:15,Общая группа,Анализ рынка и продвижение продукта Экзамен,Не указан,Грабар А.А.,2-404
