Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ЮРм-1902-10-00_1.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Юридическая техника Зачет,Не указан,Зырянова А.В.,13-608
сессия_ЮРм-1902-10-00_1.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Сравнительное правоведение Зачет,Не указан,Сергеев А.В.,13-608
сессия_ЮРм-1902-10-00_1.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Сравнительное правоведение Зачет,Не указан,Сергеев А.В.,13-608
сессия_ЮРм-1902-10-00_1.pdf,10.06.26,среда,17:20-18:50,Общая группа,Проектно-экспертная деятельность юриста Зачет,Не указан,Редикульцева Е.Н.,13-609
сессия_ЮРм-1902-10-00_1.pdf,10.06.26,среда,18:55-20:25,Общая группа,Проектно-экспертная деятельность юриста Зачет,Не указан,Редикульцева Е.Н.,13-609
сессия_ЮРм-1902-10-00_1.pdf,11.06.26,четверг,17:20-18:50,Общая группа,Философия права Консультация,Не указан,Смагин С.Л.,13-510
сессия_ЮРм-1902-10-00_1.pdf,13.06.26,суббота,10:00-11:30,Общая группа,Философия права Экзамен,Не указан,Смагин С.Л.,13-510
сессия_ЮРм-1902-10-00_1.pdf,13.06.26,суббота,11:45-13:15,Общая группа,Философия права Экзамен,Не указан,Смагин С.Л.,13-510
сессия_ЮРм-1902-10-00_1.pdf,15.06.26,понедельник,18:55-20:25,Общая группа,Судебная деятельность на различных стадиях гражданского судопроизводства Консультация,Не указан,Плотников Д.А.,13-405
сессия_ЮРм-1902-10-00_1.pdf,16.06.26,вторник,17:20-18:50,Общая группа,Судебная деятельность на различных стадиях гражданского судопроизводства Экзамен,Не указан,Плотников Д.А.,13-405
сессия_ЮРм-1902-10-00_1.pdf,18.06.26,четверг,18:55-20:25,Общая группа,Деятельность прокуратуры по обеспечению национальной безопасности Консультация,Не указан,Мартьянова С.А.,13-402
сессия_ЮРм-1902-10-00_1.pdf,19.06.26,пятница,18:55-20:25,Общая группа,Деятельность прокуратуры по обеспечению национальной безопасности Экзамен,Не указан,Мартьянова С.А.,13-402
