Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25330_2_25052026_07062026.pdf,26.05.26,вторник,17:20-18:50,Общая группа,Мониторинг природных сред и объектов,Лекция,Мусихина Т.А.,1-237
25330_2_25052026_07062026.pdf,26.05.26,вторник,18:55-20:25,Общая группа,Мониторинг природных сред и объектов,Лекция,Мусихина Т.А.,1-237
25330_2_25052026_07062026.pdf,26.05.26,вторник,17:20-18:50,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_25052026_07062026.pdf,26.05.26,вторник,18:55-20:25,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_25052026_07062026.pdf,27.05.26,среда,17:20-18:50,Общая группа,Методология научных исследований,Лекция,Земцова Е.А.,1-237
25330_2_25052026_07062026.pdf,27.05.26,среда,18:55-20:25,Общая группа,Методология научных исследований,Лекция,Земцова Е.А.,1-237
25330_2_25052026_07062026.pdf,28.05.26,четверг,17:20-18:50,Общая группа,Современные технологии переработки отходов производства и потребления,Лекция,Фукс С.Л.,1-521
25330_2_25052026_07062026.pdf,28.05.26,четверг,18:55-20:25,Общая группа,Современные технологии переработки отходов производства и потребления,Лекция,Фукс С.Л.,1-521
25330_2_25052026_07062026.pdf,29.05.26,пятница,17:20-18:50,Общая группа,Современные технологии переработки отходов производства и потребления,Лабораторная работа,Михалицына Ю.С.,1-237
25330_2_25052026_07062026.pdf,29.05.26,пятница,18:55-20:25,Общая группа,Современные технологии переработки отходов производства и потребления,Лабораторная работа,Михалицына Ю.С.,1-237
25330_2_25052026_07062026.pdf,01.06.26,понедельник,17:20-18:50,Общая группа,Методология научных исследований,Лабораторная работа,Земцова Е.А.,1-237
25330_2_25052026_07062026.pdf,01.06.26,понедельник,18:55-20:25,Общая группа,Методология научных исследований,Лабораторная работа,Земцова Е.А.,1-237
25330_2_25052026_07062026.pdf,02.06.26,вторник,17:20-18:50,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_25052026_07062026.pdf,02.06.26,вторник,18:55-20:25,Общая группа,Мониторинг природных сред и объектов,Лабораторная работа,Ушакова Ю.Н.,1-429
25330_2_25052026_07062026.pdf,04.06.26,четверг,17:20-18:50,Общая группа,Физика и химия композиционных материалов на основе отходов производства и потребления,Лекция,Фукс С.Л.,1-514
25330_2_25052026_07062026.pdf,05.06.26,пятница,17:20-18:50,Общая группа,Физика и химия композиционных материалов на основе отходов производства и потребления,Лабораторная работа,Михалицына Ю.С.,1-237
25330_2_25052026_07062026.pdf,05.06.26,пятница,18:55-20:25,Общая группа,Физика и химия композиционных материалов на основе отходов производства и потребления,Лабораторная работа,Михалицына Ю.С.,1-237
