Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24513_2_27042026_10052026.pdf,27.04.26,понедельник,17:20-18:50,Общая группа,Правовые основы обеспечения общественного порядка,Лекция,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,27.04.26,понедельник,18:55-20:25,Общая группа,Правовые основы обеспечения общественного порядка,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,28.04.26,вторник,14:00-15:30,Общая группа,Философия права,Практическое занятие,Смагин С.Л.,13-509
24513_2_27042026_10052026.pdf,28.04.26,вторник,15:45-17:15,Общая группа,Философия права,Практическое занятие,Смагин С.Л.,13-509
24513_2_27042026_10052026.pdf,28.04.26,вторник,17:20-18:50,Общая группа,Правовые основы профилактики правонарушений,Лекция,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,28.04.26,вторник,18:55-20:25,Общая группа,Правовые основы профилактики правонарушений,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,29.04.26,среда,17:20-18:50,Общая группа,Правовые основы обеспечения общественного порядка,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,29.04.26,среда,18:55-20:25,Общая группа,Правовые основы обеспечения общественного порядка,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,02.05.26,суббота,10:00-11:30,Общая группа,Делопроизводство и режим секретности в правоохранительных органах,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,02.05.26,суббота,11:45-13:15,Общая группа,Делопроизводство и режим секретности в правоохранительных органах,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,02.05.26,суббота,14:00-15:30,Общая группа,Правовые основы профилактики правонарушений,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,02.05.26,суббота,15:45-17:15,Общая группа,Правовые основы профилактики правонарушений,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,02.05.26,суббота,17:20-18:50,Общая группа,Правовые основы профилактики правонарушений,Практическое занятие,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,07.05.26,четверг,11:45-13:15,Общая группа,Философия права,Лекция,Смагин С.Л.,13-110
24513_2_27042026_10052026.pdf,08.05.26,пятница,17:20-18:50,Общая группа,Административная юрисдикция в сфере безопасности дорожного движения,Лекция,Дубинин Д.Ю.,13-511
24513_2_27042026_10052026.pdf,08.05.26,пятница,18:55-20:25,Общая группа,Административная юрисдикция в сфере безопасности дорожного движения,Практическое занятие,Дубинин Д.Ю.,13-511
