Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24727_2_27042026_10052026.pdf,27.04.26,понедельник,08:20-09:50,Общая группа,Литературно-критическое творчество,Лекция,Лицарева К.С.,14-328
24727_2_27042026_10052026.pdf,27.04.26,понедельник,10:00-11:30,Общая группа,Литературно-критическое творчество,Практическое занятие,Лицарева К.С.,14-328
24727_2_27042026_10052026.pdf,27.04.26,понедельник,11:45-13:15,Общая группа,Судебная лингвистическая экспертиза,Лекция,Калинин А.А.,14-311
24727_2_27042026_10052026.pdf,27.04.26,понедельник,14:00-15:30,Общая группа,Судебная лингвистическая экспертиза,Практическое занятие,Калинин А.А.,14-311
24727_2_27042026_10052026.pdf,28.04.26,вторник,10:00-11:30,Общая группа,История зарубежной литературы,Практическое занятие,Поляков О.Ю.,14-324
24727_2_27042026_10052026.pdf,28.04.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Тарасова А.А.,19-206
24727_2_27042026_10052026.pdf,28.04.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Рябова Ю.С.,14-108
24727_2_27042026_10052026.pdf,28.04.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Загребина Л.А.,14-115
24727_2_27042026_10052026.pdf,28.04.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Полубоярцев С.А.,14-106
24727_2_27042026_10052026.pdf,28.04.26,вторник,14:00-15:30,Общая группа,Лингвистическая конфликтология,Практическое занятие,Калинин А.А.,14-308
24727_2_27042026_10052026.pdf,28.04.26,вторник,15:45-17:15,Общая группа,Лингвистическая составляющая законодательства,Практическое занятие,Калинин А.А.,14-308
24727_2_27042026_10052026.pdf,30.04.26,четверг,10:00-11:30,Общая группа,Судебная лингвистическая экспертиза,Практическое занятие,Калинин А.А.,14-322
24727_2_27042026_10052026.pdf,30.04.26,четверг,11:45-13:15,Общая группа,История русской литературы,Практическое занятие,Ануфриев А.Е.,14-312
24727_2_27042026_10052026.pdf,30.04.26,четверг,14:00-15:30,Общая группа,Язык и стиль художественной литературы,Практическое занятие,Черниговский Д.Н.,14-324
24727_2_27042026_10052026.pdf,30.04.26,четверг,15:45-17:15,Общая группа,История литературной критики,Практическое занятие,Черниговский Д.Н.,14-324
24727_2_27042026_10052026.pdf,02.05.26,суббота,15:45-17:15,Общая группа,Китайский язык,Практическое занятие,Байкова А.В.,1-311
24727_2_27042026_10052026.pdf,04.05.26,понедельник,10:00-11:30,Общая группа,Лингвистическая конфликтология,Лекция,Калинин А.А.,14-311
24727_2_27042026_10052026.pdf,04.05.26,понедельник,11:45-13:15,Общая группа,Лингвистическая конфликтология,Практическое занятие,Калинин А.А.,14-311
24727_2_27042026_10052026.pdf,04.05.26,понедельник,14:00-15:30,Общая группа,Язык и стиль художественной литературы,Лекция,Черниговский Д.Н.,14-324
24727_2_27042026_10052026.pdf,04.05.26,понедельник,15:45-17:15,Общая группа,Язык и стиль художественной литературы,Практическое занятие,Черниговский Д.Н.,14-324
24727_2_27042026_10052026.pdf,05.05.26,вторник,08:20-09:50,Общая группа,История зарубежной литературы,Лекция,Поляков О.Ю.,14-324
24727_2_27042026_10052026.pdf,05.05.26,вторник,10:00-11:30,Общая группа,История зарубежной литературы,Практическое занятие,Поляков О.Ю.,14-324
24727_2_27042026_10052026.pdf,05.05.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Тарасова А.А.,19-206
24727_2_27042026_10052026.pdf,05.05.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Рябова Ю.С.,14-108
24727_2_27042026_10052026.pdf,05.05.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Загребина Л.А.,14-115
24727_2_27042026_10052026.pdf,05.05.26,вторник,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Полубоярцев С.А.,14-106
24727_2_27042026_10052026.pdf,05.05.26,вторник,14:00-15:30,Общая группа,Современный русский язык,Лекция,Злобин А.А.,14-332
24727_2_27042026_10052026.pdf,06.05.26,среда,08:20-09:50,Общая группа,Проектная деятельность в филологии,Лекция,Валова О.М.,14-311
24727_2_27042026_10052026.pdf,06.05.26,среда,10:00-11:30,Общая группа,Проектная деятельность в филологии,Лекция,Валова О.М.,14-311
24727_2_27042026_10052026.pdf,07.05.26,четверг,10:00-11:30,Общая группа,Лингвистическая составляющая законодательства,Лекция,Калинин А.А.,14-334
24727_2_27042026_10052026.pdf,07.05.26,четверг,11:45-13:15,Общая группа,Лингвистическая составляющая законодательства,Практическое занятие,Калинин А.А.,14-334
24727_2_27042026_10052026.pdf,07.05.26,четверг,14:00-15:30,Общая группа,История литературной критики,Практическое занятие,Черниговский Д.Н.,14-324
24727_2_27042026_10052026.pdf,07.05.26,четверг,15:45-17:15,Общая группа,История литературной критики,Лекция,Лицарева К.С.,14-328
24727_2_27042026_10052026.pdf,08.05.26,пятница,08:20-09:50,Общая группа,Восточная литература,Лекция,Лицарева К.С.,14-328
24727_2_27042026_10052026.pdf,08.05.26,пятница,10:00-11:30,Общая группа,Восточная литература,Практическое занятие,Лицарева К.С.,14-328
24727_2_27042026_10052026.pdf,08.05.26,пятница,11:45-13:15,Общая группа,История русской литературы,Лекция,Ануфриев А.Е.,14-314
24727_2_27042026_10052026.pdf,08.05.26,пятница,14:00-15:30,Общая группа,История русской литературы,Практическое занятие,Ануфриев А.Е.,14-314
