Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25984_2_25052026_07062026.pdf,27.05.26,среда,17:20-18:50,Общая группа,Компьютерная лингвистика,Лекция,Пащенко Д.Э.,1-236
25984_2_25052026_07062026.pdf,27.05.26,среда,18:55-20:25,Общая группа,Компьютерная лингвистика,Лекция,Пащенко Д.Э.,1-236
25984_2_25052026_07062026.pdf,27.05.26,среда,17:20-18:50,Общая группа,Технология разработки программного обеспечения,Лабораторная работа,Чистяков Г.А.,1-239
25984_2_25052026_07062026.pdf,27.05.26,среда,18:55-20:25,Общая группа,Технология разработки программного обеспечения,Лабораторная работа,Чистяков Г.А.,1-239
25984_2_25052026_07062026.pdf,01.06.26,понедельник,17:20-18:50,Общая группа,Компьютерная лингвистика,Лабораторная работа,Пащенко Д.Э.,1-109
25984_2_25052026_07062026.pdf,01.06.26,понедельник,17:20-18:50,Общая группа,Современные методы цифровой обработки сигналов,Лабораторная работа,Лесников В.А.,3-205
25984_2_25052026_07062026.pdf,01.06.26,понедельник,18:55-20:25,Общая группа,Компьютерная лингвистика,Лабораторная работа,Пащенко Д.Э.,1-109
25984_2_25052026_07062026.pdf,01.06.26,понедельник,18:55-20:25,Общая группа,Современные методы цифровой обработки сигналов,Лабораторная работа,Лесников В.А.,3-205
25984_2_25052026_07062026.pdf,02.06.26,вторник,17:20-18:50,Общая группа,Безопасность и защита информации,Лабораторная работа,Колупаев А.В.,3-204а
25984_2_25052026_07062026.pdf,02.06.26,вторник,18:55-20:25,Общая группа,Безопасность и защита информации,Лабораторная работа,Колупаев А.В.,3-204а
25984_2_25052026_07062026.pdf,03.06.26,среда,17:20-18:50,Общая группа,Технология разработки программного обеспечения,Лабораторная работа,Чистяков Г.А.,1-239
25984_2_25052026_07062026.pdf,03.06.26,среда,18:55-20:25,Общая группа,Технология разработки программного обеспечения,Лабораторная работа,Чистяков Г.А.,1-239
