Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24926_2_30032026_12042026.pdf,30.03.26,понедельник,15:45-17:15,Общая группа,Проектирование защищенных телекоммуникационных систем,Лекция,Частиков А.В.,3-102
24926_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Проектирование защищенных телекоммуникационных систем,Практическое занятие,Частиков А.В.,3-105а
24926_2_30032026_12042026.pdf,31.03.26,вторник,10:00-11:30,Общая группа,Электронные системы безопасности,Лекция,Репкин Д.А.,3-101
24926_2_30032026_12042026.pdf,31.03.26,вторник,11:45-13:15,Общая группа,Электронные системы безопасности,Практическое занятие,Репкин Д.А.,3-101
24926_2_30032026_12042026.pdf,01.04.26,среда,11:45-13:15,Общая группа,Основы управления информационной безопасностью,Лекция,Трубин И.С.,3-102
24926_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,01 подгруппа,Основы управления информационной безопасностью,Лабораторная работа,Трубин И.С.,3-204а
24926_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,02 подгруппа,Электронные системы безопасности,Лабораторная работа,Репкин Д.А.,3-203
24926_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,01 подгруппа,Основы управления информационной безопасностью,Лабораторная работа,Трубин И.С.,3-204а
24926_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,02 подгруппа,Электронные системы безопасности,Лабораторная работа,Репкин Д.А.,3-203
24926_2_30032026_12042026.pdf,02.04.26,четверг,08:20-09:50,Общая группа,Компьютерное проектирование и моделирование,Лекция,Ржаникова Е.Д.,3-102
24926_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,02 подгруппа,Основы управления информационной безопасностью,Лабораторная работа,Трубин И.С.,3-205
24926_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,01 подгруппа,Электронные системы безопасности,Лабораторная работа,Репкин Д.А.,3-203
24926_2_30032026_12042026.pdf,02.04.26,четверг,11:45-13:15,02 подгруппа,Основы управления информационной безопасностью,Лабораторная работа,Трубин И.С.,3-205
24926_2_30032026_12042026.pdf,02.04.26,четверг,11:45-13:15,01 подгруппа,Электронные системы безопасности,Лабораторная работа,Репкин Д.А.,3-203
24926_2_30032026_12042026.pdf,03.04.26,пятница,10:00-11:30,02 подгруппа,Компьютерное проектирование и моделирование,Лабораторная работа,Ржаникова Е.Д.,3-206
24926_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,02 подгруппа,Компьютерное проектирование и моделирование,Лабораторная работа,Ржаникова Е.Д.,3-206
24926_2_30032026_12042026.pdf,06.04.26,понедельник,14:00-15:30,Общая группа,Основы управления информационной безопасностью,Практическое занятие,Трубин И.С.,3-204а
24926_2_30032026_12042026.pdf,06.04.26,понедельник,15:45-17:15,Общая группа,Основы управления информационной безопасностью,Лекция,Трубин И.С.,3-102
24926_2_30032026_12042026.pdf,07.04.26,вторник,10:00-11:30,Общая группа,Электронные системы безопасности,Лекция,Репкин Д.А.,3-101
24926_2_30032026_12042026.pdf,07.04.26,вторник,11:45-13:15,Общая группа,Электронные системы безопасности,Практическое занятие,Репкин Д.А.,3-101
24926_2_30032026_12042026.pdf,07.04.26,вторник,14:00-15:30,01 подгруппа,Проектирование защищенных телекоммуникационных систем,Лабораторная работа,Частиков А.В.,3-206
24926_2_30032026_12042026.pdf,07.04.26,вторник,15:45-17:15,01 подгруппа,Проектирование защищенных телекоммуникационных систем,Лабораторная работа,Частиков А.В.,3-206
24926_2_30032026_12042026.pdf,08.04.26,среда,08:20-09:50,Общая группа,Компьютерное проектирование и моделирование,Лекция,Ржаникова Е.Д.,3-105
24926_2_30032026_12042026.pdf,08.04.26,среда,10:00-11:30,Общая группа,Проектирование защищенных телекоммуникационных систем,Лекция,Частиков А.В.,3-102
24926_2_30032026_12042026.pdf,09.04.26,четверг,08:20-09:50,01 подгруппа,Компьютерное проектирование и моделирование,Лабораторная работа,Ржаникова Е.Д.,3-206
24926_2_30032026_12042026.pdf,09.04.26,четверг,10:00-11:30,01 подгруппа,Компьютерное проектирование и моделирование,Лабораторная работа,Ржаникова Е.Д.,3-206
24926_2_30032026_12042026.pdf,09.04.26,четверг,14:00-15:30,02 подгруппа,Проектирование защищенных телекоммуникационных систем,Лабораторная работа,Частиков А.В.,3-206
24926_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,02 подгруппа,Проектирование защищенных телекоммуникационных систем,Лабораторная работа,Частиков А.В.,3-206
