Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24553_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Маркетинг,Лекция,Перминова А.А.,14-104
24553_2_30032026_12042026.pdf,30.03.26,понедельник,18:55-20:25,Общая группа,Маркетинг,Практическое занятие,Перминова А.А.,14-104
24553_2_30032026_12042026.pdf,31.03.26,вторник,10:00-11:30,Общая группа,Управление бизнес-процессами инновационного предприятия,Лекция,Соболева О.Н.,14-122
24553_2_30032026_12042026.pdf,31.03.26,вторник,11:45-13:15,Общая группа,Управление бизнес-процессами инновационного предприятия,Практическое занятие,Соболева О.Н.,14-122
24553_2_30032026_12042026.pdf,01.04.26,среда,11:45-13:15,Общая группа,Основы технологического предпринимательства,Лекция,Набоких А.А.,14-104
24553_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,Общая группа,Учет и анализ производственно-хозяйственной деятельности предприятия,Лекция,Беспятых А.В.,16-217
24553_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,Общая группа,Учет и анализ производственно-хозяйственной деятельности предприятия,Практическое занятие,Беспятых А.В.,16-217
24553_2_30032026_12042026.pdf,02.04.26,четверг,14:00-15:30,Общая группа,Инновационный менеджмент,Лекция,Горева Е.А.,14-338
24553_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
24553_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-108
24553_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
24553_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
24553_2_30032026_12042026.pdf,03.04.26,пятница,08:20-09:50,Общая группа,Инновационный менеджмент,Практическое занятие,Горева Е.А.,14-113
24553_2_30032026_12042026.pdf,03.04.26,пятница,10:00-11:30,Общая группа,Инновационный менеджмент,Практическое занятие,Горева Е.А.,14-110
24553_2_30032026_12042026.pdf,06.04.26,понедельник,17:20-18:50,Общая группа,Маркетинг,Лекция,Перминова А.А.,14-113
24553_2_30032026_12042026.pdf,06.04.26,понедельник,18:55-20:25,Общая группа,Маркетинг,Практическое занятие,Перминова А.А.,14-113
24553_2_30032026_12042026.pdf,07.04.26,вторник,14:00-15:30,Общая группа,Управление бизнес-процессами инновационного предприятия,Лекция,Соболева О.Н.,14-113
24553_2_30032026_12042026.pdf,07.04.26,вторник,15:45-17:15,Общая группа,Управление бизнес-процессами инновационного предприятия,Практическое занятие,Соболева О.Н.,14-113
24553_2_30032026_12042026.pdf,08.04.26,среда,10:00-11:30,Общая группа,Управление бизнес-процессами инновационного предприятия,Практическое занятие,Соболева О.Н.,14-104
24553_2_30032026_12042026.pdf,08.04.26,среда,11:45-13:15,Общая группа,Управление бизнес-процессами инновационного предприятия,Практическое занятие,Соболева О.Н.,14-104
24553_2_30032026_12042026.pdf,09.04.26,четверг,11:45-13:15,Общая группа,Учет и анализ производственно-хозяйственной деятельности предприятия,Лекция,Беспятых А.В.,16-217
24553_2_30032026_12042026.pdf,09.04.26,четверг,14:00-15:30,Общая группа,Учет и анализ производственно-хозяйственной деятельности предприятия,Практическое занятие,Беспятых А.В.,16-217
24553_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
24553_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-108
24553_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
24553_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
24553_2_30032026_12042026.pdf,10.04.26,пятница,11:45-13:15,Общая группа,Маркетинг,Лекция,Перминова А.А.,14-113
24553_2_30032026_12042026.pdf,10.04.26,пятница,14:00-15:30,Общая группа,Основы технологического предпринимательства,Практическое занятие,Набоких А.А.,14-121
24553_2_30032026_12042026.pdf,10.04.26,пятница,15:45-17:15,Общая группа,Основы технологического предпринимательства,Практическое занятие,Набоких А.А.,14-121
