Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24611_2_30032026_12042026.pdf,30.03.26,понедельник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Крестьянинова О.В.,14-147
24611_2_30032026_12042026.pdf,30.03.26,понедельник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Авдеева М.С.,13-001
24611_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,Общая группа,Логика,Лекция,Ефимова Н.М.,14-214
24611_2_30032026_12042026.pdf,30.03.26,понедельник,14:00-15:30,Общая группа,Креативные индустрии,Лекция,Колобова Ю.И.,14-209
24611_2_30032026_12042026.pdf,31.03.26,вторник,10:00-11:30,Общая группа,Вспомогательные исторические дисциплины,Лекция,Мокерова Е.Ю.,14-233
24611_2_30032026_12042026.pdf,31.03.26,вторник,11:45-13:15,Общая группа,Вспомогательные исторические дисциплины,Практическое занятие,Мокерова Е.Ю.,14-233
24611_2_30032026_12042026.pdf,31.03.26,вторник,14:00-15:30,Общая группа,Логика,Практическое занятие,Ефимова Н.М.,14-219
24611_2_30032026_12042026.pdf,01.04.26,среда,10:00-11:30,Общая группа,Креативные индустрии,Практическое занятие,Колобова Ю.И.,14-233
24611_2_30032026_12042026.pdf,01.04.26,среда,11:45-13:15,Общая группа,Социология,Лекция,Голенок М.П.,14-332
24611_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,Общая группа,Безопасность жизнедеятельности,Практическое занятие,Постников Н.К.,19-260
24611_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,Общая группа,История Средних веков,Лекция,Садаков Д.А.,14-211
24611_2_30032026_12042026.pdf,02.04.26,четверг,11:45-13:15,Общая группа,История Средних веков,Практическое занятие,Садаков Д.А.,14-211
24611_2_30032026_12042026.pdf,02.04.26,четверг,14:00-15:30,Общая группа,Социология,Практическое занятие,Одегова К.И.,14-211
24611_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,Общая группа,Социология,Практическое занятие,Одегова К.И.,14-211
24611_2_30032026_12042026.pdf,03.04.26,пятница,10:00-11:30,Общая группа,История России XIX - начала XX веков,Лекция,Тарасов К.Н.,14-214
24611_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,Общая группа,История России XIX - начала XX веков,Практическое занятие,Тарасов К.Н.,14-214
24611_2_30032026_12042026.pdf,03.04.26,пятница,14:00-15:30,Общая группа,Источниковедение,Практическое занятие,Костина Е.Г.,14-202
24611_2_30032026_12042026.pdf,06.04.26,понедельник,08:20-09:50,Общая группа,Источниковедение,Практическое занятие,Костина Е.Г.,14-319
24611_2_30032026_12042026.pdf,06.04.26,понедельник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Крестьянинова О.В.,14-147
24611_2_30032026_12042026.pdf,06.04.26,понедельник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Авдеева М.С.,13-001
24611_2_30032026_12042026.pdf,06.04.26,понедельник,11:45-13:15,Общая группа,История Средних веков,Лекция,Садаков Д.А.,14-214
24611_2_30032026_12042026.pdf,06.04.26,понедельник,14:00-15:30,Общая группа,История Средних веков,Практическое занятие,Садаков Д.А.,14-214
24611_2_30032026_12042026.pdf,07.04.26,вторник,08:20-09:50,Общая группа,Технологии социального и профессионального взаимодействия,Лекция,Городилова С.А.,14-233
24611_2_30032026_12042026.pdf,07.04.26,вторник,10:00-11:30,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Городилова С.А.,14-233
24611_2_30032026_12042026.pdf,07.04.26,вторник,11:45-13:15,Общая группа,Логика,Практическое занятие,Ефимова Н.М.,14-209
24611_2_30032026_12042026.pdf,08.04.26,среда,08:20-09:50,Общая группа,Источниковедение,Лекция,Костина Е.Г.,14-322
24611_2_30032026_12042026.pdf,08.04.26,среда,10:00-11:30,Общая группа,Источниковедение,Практическое занятие,Костина Е.Г.,14-322
24611_2_30032026_12042026.pdf,08.04.26,среда,11:45-13:15,Общая группа,Креативные индустрии,Практическое занятие,Колобова Ю.И.,14-209
24611_2_30032026_12042026.pdf,09.04.26,четверг,10:00-11:30,Общая группа,Социология,Практическое занятие,Одегова К.И.,14-210
24611_2_30032026_12042026.pdf,09.04.26,четверг,11:45-13:15,Общая группа,Социология,Практическое занятие,Одегова К.И.,14-221
24611_2_30032026_12042026.pdf,09.04.26,четверг,14:00-15:30,Общая группа,История России XIX - начала XX веков,Лекция,Тарасов К.Н.,14-214
24611_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,Общая группа,История России XIX - начала XX веков,Практическое занятие,Тарасов К.Н.,14-214
24611_2_30032026_12042026.pdf,10.04.26,пятница,08:20-09:50,Общая группа,История Средних веков,Лекция,Садаков Д.А.,14-209
24611_2_30032026_12042026.pdf,10.04.26,пятница,10:00-11:30,Общая группа,История Средних веков,Лекция,Садаков Д.А.,14-209
24611_2_30032026_12042026.pdf,10.04.26,пятница,11:45-13:15,Общая группа,Вспомогательные исторические дисциплины,Практическое занятие,Мокерова Е.Ю.,14-221
24611_2_30032026_12042026.pdf,10.04.26,пятница,14:00-15:30,Общая группа,Безопасность жизнедеятельности,Практическое занятие,Постников Н.К.,19-219
